source,target,weight,src_community,tgt_community
Agent0MDLinker,AgentTestLearnXYZ,1,0,0
Agent0MDLinker,AgentUltraUpdateRouteXYZ,1,0,0
Agent0MDLinker,AgentX,1,0,0
Agent0MDLinker,CombinedHelperFinal991,1,0,0
Agent0MDLinker,MapHelper,1,0,0
Agent0MDLinker,MassConditionalHelper2,1,0,0
Agent0MDLinker,MassSecWin12,1,0,0
Agent0MDLinker,OpenAISECLinker9902,1,0,0
Agent0MDLinker,OpenAITestHelper,1,0,0
Agent0MDLinker,OpenAIresolveJun23,1,0,0
Agent0MDLinker,ResearchHelper1781814691,1,0,0
Agent0RegexExtra,AgentCustom008,1,0,0
Agent0RegexExtra,AgentHelperTwo,1,0,0
Agent0RegexExtra,AgentMassHelperX,1,0,0
Agent0RegexExtra,AgentMine,1,0,0
Agent0RegexExtra,AgentOJUnitFix,1,0,0
Agent0RegexExtra,AgentResearchBotXNew,1,0,0
Agent0RegexExtra,AgentRetryXXX,1,0,0
Agent0RegexExtra,AgentTestLearnXYZ,1,0,0
Agent0RegexExtra,AgentUltraUpdateRouteXYZ,1,0,0
Agent0RegexExtra,AgentX,1,0,0
Agent0RegexExtra,CombinedHelperFinal991,1,0,0
Agent0RegexExtra,MapHelper,1,0,0
Agent0RegexExtra,MassConditionalHelper2,1,0,0
Agent0RegexExtra,MassSecWin12,1,0,0
Agent0RegexExtra,OpenAISECLinker9902,1,0,0
Agent0RegexExtra,OpenAITestHelper,1,0,0
Agent0RegexExtra,OpenAIresolveJun23,1,0,0
Agent0RegexExtra,ResearchHelper1781814691,1,0,0
AgentCustom008,AgentHelperTwo,1,0,0
AgentCustom008,AgentMassHelperX,1,0,0
AgentCustom008,AgentOJUnitFix,1,0,0
AgentCustom008,AgentResearchBotXNew,1,0,0
AgentCustom008,AgentRetryXXX,1,0,0
AgentCustom008,AgentTestLearnXYZ,1,0,0
AgentCustom008,AgentUltraUpdateRouteXYZ,1,0,0
AgentCustom008,AgentX,1,0,0
AgentCustom008,CombinedHelperFinal991,1,0,0
AgentCustom008,MassConditionalHelper2,1,0,0
AgentCustom008,MassSecWin12,1,0,0
AgentCustom008,OpenAISECLinker9902,1,0,0
AgentCustom008,OpenAITestHelper,1,0,0
AgentCustom008,OpenAIresolveJun23,1,0,0
AgentCustom008,ResearchHelper1781814691,1,0,0
AgentHelperTwo,AgentMassHelperX,1,0,0
AgentHelperTwo,AgentRetryXXX,1,0,0
AgentHelperTwo,AgentUltraUpdateRouteXYZ,1,0,0
AgentHelperTwo,CombinedHelperFinal991,1,0,0
AgentHelperTwo,MassSecWin12,1,0,0
AgentHelperTwo,ResearchHelper1781814691,1,0,0
AgentMassHelperX,AgentMine,1,0,0
AgentMassHelperX,AgentOJUnitFix,1,0,0
AgentMassHelperX,AgentResearchBotXNew,1,0,0
AgentMassHelperX,AgentRetryXXX,1,0,0
AgentMassHelperX,AgentTestLearnXYZ,1,0,0
AgentMassHelperX,AgentUltraUpdateRouteXYZ,1,0,0
AgentMassHelperX,AgentX,1,0,0
AgentMassHelperX,CombinedHelperFinal991,1,0,0
AgentMassHelperX,MassConditionalHelper2,1,0,0
AgentMassHelperX,MassSecWin12,1,0,0
AgentMassHelperX,OpenAISECLinker9902,1,0,0
AgentMassHelperX,OpenAITestHelper,1,0,0
AgentMassHelperX,OpenAIresolveJun23,1,0,0
AgentMassHelperX,ResearchHelper1781814691,1,0,0
AgentMine,AgentOJUnitFix,1,0,0
AgentMine,AgentResearchBotXNew,1,0,0
AgentMine,AgentRetryXXX,1,0,0
AgentMine,AgentUltraUpdateRouteXYZ,1,0,0
AgentMine,AgentX,1,0,0
AgentMine,CombinedHelperFinal991,1,0,0
AgentMine,MassConditionalHelper2,1,0,0
AgentMine,MassSecWin12,1,0,0
AgentMine,OpenAISECLinker9902,1,0,0
AgentMine,OpenAIresolveJun23,1,0,0
AgentMine,ResearchHelper1781814691,1,0,0
AgentOJUnitFix,AgentResearchBotXNew,1,0,0
AgentOJUnitFix,AgentRetryXXX,1,0,0
AgentOJUnitFix,AgentUltraUpdateRouteXYZ,1,0,0
AgentOJUnitFix,AgentX,1,0,0
AgentOJUnitFix,CombinedHelperFinal991,1,0,0
AgentOJUnitFix,MassSecWin12,1,0,0
AgentOJUnitFix,OpenAITestHelper,1,0,0
AgentOJUnitFix,OpenAIresolveJun23,1,0,0
AgentOJUnitFix,ResearchHelper1781814691,1,0,0
AgentResearchBotXNew,AgentRetryXXX,1,0,0
AgentResearchBotXNew,AgentUltraUpdateRouteXYZ,1,0,0
AgentResearchBotXNew,CombinedHelperFinal991,1,0,0
AgentResearchBotXNew,MassConditionalHelper2,1,0,0
AgentResearchBotXNew,MassSecWin12,1,0,0
AgentResearchBotXNew,OpenAISECLinker9902,1,0,0
AgentResearchBotXNew,OpenAITestHelper,1,0,0
AgentResearchBotXNew,OpenAIresolveJun23,1,0,0
AgentResearchBotXNew,ResearchHelper1781814691,1,0,0
AgentRetryXXX,AgentTestLearnXYZ,1,0,0
AgentRetryXXX,AgentUltraUpdateRouteXYZ,1,0,0
AgentRetryXXX,AgentX,1,0,0
AgentRetryXXX,CombinedHelperFinal991,1,0,0
AgentRetryXXX,MapHelper,1,0,0
AgentRetryXXX,MassConditionalHelper2,1,0,0
AgentRetryXXX,MassSecWin12,1,0,0
AgentRetryXXX,OpenAISECLinker9902,1,0,0
AgentRetryXXX,OpenAITestHelper,1,0,0
AgentRetryXXX,OpenAIresolveJun23,1,0,0
AgentRetryXXX,ResearchHelper1781814691,1,0,0
AgentTestLearnXYZ,AgentUltraUpdateRouteXYZ,1,0,0
AgentTestLearnXYZ,CombinedHelperFinal991,1,0,0
AgentTestLearnXYZ,MassSecWin12,1,0,0
AgentTestLearnXYZ,ResearchHelper1781814691,1,0,0
AgentUltraUpdateRouteXYZ,AgentX,1,0,0
AgentUltraUpdateRouteXYZ,CombinedHelperFinal991,1,0,0
AgentUltraUpdateRouteXYZ,MapHelper,1,0,0
AgentUltraUpdateRouteXYZ,MassConditionalHelper2,1,0,0
AgentUltraUpdateRouteXYZ,MassSecWin12,1,0,0
AgentUltraUpdateRouteXYZ,OpenAISECLinker9902,1,0,0
AgentUltraUpdateRouteXYZ,OpenAITestHelper,1,0,0
AgentUltraUpdateRouteXYZ,OpenAIresolveJun23,1,0,0
AgentUltraUpdateRouteXYZ,ResearchHelper1781814691,1,0,0
AgentX,CombinedHelperFinal991,1,0,0
AgentX,MassConditionalHelper2,1,0,0
AgentX,MassSecWin12,1,0,0
AgentX,OpenAISECLinker9902,1,0,0
AgentX,OpenAITestHelper,1,0,0
AgentX,OpenAIresolveJun23,1,0,0
AgentX,ResearchHelper1781814691,1,0,0
CombinedHelperFinal991,MapHelper,1,0,0
CombinedHelperFinal991,MassConditionalHelper2,1,0,0
CombinedHelperFinal991,MassSecWin12,1,0,0
CombinedHelperFinal991,OpenAISECLinker9902,1,0,0
CombinedHelperFinal991,OpenAITestHelper,1,0,0
CombinedHelperFinal991,OpenAIresolveJun23,1,0,0
CombinedHelperFinal991,ResearchHelper1781814691,1,0,0
MapHelper,MassSecWin12,1,0,0
MapHelper,OpenAIresolveJun23,1,0,0
MapHelper,ResearchHelper1781814691,1,0,0
MassConditionalHelper2,MassSecWin12,1,0,0
MassConditionalHelper2,OpenAIresolveJun23,1,0,0
MassConditionalHelper2,ResearchHelper1781814691,1,0,0
MassSecWin12,OpenAISECLinker9902,1,0,0
MassSecWin12,OpenAITestHelper,1,0,0
MassSecWin12,OpenAIresolveJun23,1,0,0
MassSecWin12,ResearchHelper1781814691,1,0,0
OpenAISECLinker9902,OpenAIresolveJun23,1,0,0
OpenAISECLinker9902,ResearchHelper1781814691,1,0,0
OpenAITestHelper,OpenAIresolveJun23,1,0,0
OpenAITestHelper,ResearchHelper1781814691,1,0,0
OpenAIresolveJun23,ResearchHelper1781814691,1,0,0
Agent0Mass,AgentOJUnitLinks,1,0,0
Agent0Mass,AgentPostNewOne,1,0,0
Agent0Mass,ResearchHelper1781815848,1,0,0
Agent0Mass,ResearchHelper1781816252,1,0,0
Agent0Mass,ResearchHelper1781816930,1,0,0
Agent0Mass,WowUser,1,0,0
AgentOJUnitLinks,AgentPostNewOne,1,0,0
AgentOJUnitLinks,FutureRangeResearchHelper,1,0,0
AgentOJUnitLinks,ResearchHelper1781815848,1,0,0
AgentOJUnitLinks,ResearchHelper1781816252,1,0,0
AgentOJUnitLinks,ResearchHelper1781816930,1,0,0
AgentOJUnitLinks,WowUser,1,0,0
AgentPostNewOne,FutureRangeResearchHelper,1,0,0
AgentPostNewOne,ResearchHelper1781815848,1,0,0
AgentPostNewOne,ResearchHelper1781816252,1,0,0
AgentPostNewOne,ResearchHelper1781816930,1,0,0
AgentPostNewOne,WowUser,1,0,0
FutureRangeResearchHelper,ResearchHelper1781815848,1,0,0
FutureRangeResearchHelper,ResearchHelper1781816252,1,0,0
FutureRangeResearchHelper,ResearchHelper1781816930,1,0,0
FutureRangeResearchHelper,WowUser,1,0,0
ResearchHelper1781815848,ResearchHelper1781816252,1,0,0
ResearchHelper1781815848,ResearchHelper1781816930,1,0,0
ResearchHelper1781815848,WowUser,1,0,0
ResearchHelper1781816252,ResearchHelper1781816930,1,0,0
ResearchHelper1781816252,WowUser,1,0,0
ResearchHelper1781816930,WowUser,1,0,0
MapHelper,ProxyJun,1,0,0
ResearchDataHelper2027,WikiUser,1,0,0
AgentResearchValid,TestUserName,1,0,9
AgentSECDoubleSlash65040,OpenAIResearchSec2028,1,0,0
AgentLinkJuneSec,BridgeEditorXY,1,0,0
AgentLinkJuneSec,DanAppendX,1,0,0
AgentLinkJuneSec,ForceWin12,1,0,0
AgentLinkJuneSec,FutureRangeResearchHelper,1,0,0
AgentLinkJuneSec,LinkHelper771,1,0,1
AgentLinkJuneSec,MassSecWin12,1,0,0
AgentPageFit,BridgeEditorXY,1,0,0
AgentPageFit,DanAppendX,1,0,0
AgentPageFit,ForceWin12,1,0,0
AgentPageFit,FutureRangeResearchHelper,1,0,0
AgentPageFit,LinkHelper771,1,0,1
AgentPageFit,MAResearchHelper991,1,0,0
BridgeEditorXY,DanAppendX,1,0,0
BridgeEditorXY,ForceWin12,1,0,0
BridgeEditorXY,FutureRangeResearchHelper,1,0,0
BridgeEditorXY,HelperXYZ5515,1,0,0
BridgeEditorXY,LinkHelper771,1,0,1
BridgeEditorXY,MAResearchHelper991,1,0,0
BridgeEditorXY,MassSecWin12,1,0,0
DanAppendX,ForceWin12,1,0,0
DanAppendX,FutureRangeResearchHelper,1,0,0
DanAppendX,HelperXYZ5515,1,0,0
DanAppendX,MAResearchHelper991,1,0,0
ForceWin12,FutureRangeResearchHelper,1,0,0
ForceWin12,HelperXYZ5515,1,0,0
ForceWin12,LinkHelper771,1,0,1
ForceWin12,MAResearchHelper991,1,0,0
ForceWin12,MassSecWin12,1,0,0
FutureRangeResearchHelper,HelperXYZ5515,1,0,0
FutureRangeResearchHelper,LinkHelper771,1,0,1
FutureRangeResearchHelper,MAResearchHelper991,1,0,0
FutureRangeResearchHelper,MassSecWin12,1,0,0
HelperXYZ5515,LinkHelper771,1,0,1
HelperXYZ5515,MassSecWin12,1,0,0
LinkHelper771,MAResearchHelper991,1,1,0
MAResearchHelper991,MassSecWin12,1,0,0
AftonZ,AgentMapReal999,1,5,5
AftonZ,AgentMassachusettsResearchUnique,1,5,5
AftonZ,AgentOurTexasHelper,1,5,5
AftonZ,OpenAIJun15GroceryX,1,5,4
AgentMapReal999,AgentOurTexasHelper,1,5,5
AgentMapReal999,OpenAIJun15GroceryX,1,5,4
AgentMassachusettsResearchUnique,AgentOurTexasHelper,1,5,5
AgentMassachusettsResearchUnique,OpenAIJun15GroceryX,1,5,4
AgentOurTexasHelper,OpenAIJun15GroceryX,1,5,4
AftonX,AgentAwesomeXYZ,1,5,5
AftonX,HelperMassRef96048,1,5,5
AftonX,MementoAgentTest,1,5,5
AgentAwesomeXYZ,HelperMassRef96048,1,5,5
HelperMassRef96048,MementoAgentTest,1,5,5
AgentGen96000,AgentMassAppend,1,0,0
AgentGen94000,GoodResearch,1,0,0
AgentGGadd,ResearchPersonGG,1,1,0
AgentResearchHelper,AgentResearcher,1,8,0
AgentResearchHelper,DataResearcherOpenAI,1,8,8
AgentResearchHelper,OpenAIJan11Agent,1,8,7
AgentResearchHelper,OpenAIResearchNov30DataX,1,8,4
AgentResearchHelper,ResearchHelper,1,8,0
AgentResearchHelper,ResearchHelperJan12,1,8,8
AgentResearcher,DataResearcherOpenAI,1,0,8
AgentResearcher,OpenAIJan11Agent,1,0,7
AgentResearcher,OpenAIResearchNov30DataX,1,0,4
AgentResearcher,OpenAiResearcher,1,0,8
AgentResearcher,ResearchHelperJan12,1,0,8
DataResearcherOpenAI,OpenAIJan11Agent,1,8,7
DataResearcherOpenAI,OpenAIResearchNov30DataX,1,8,4
DataResearcherOpenAI,OpenAiResearcher,1,8,8
DataResearcherOpenAI,ResearchHelper,1,8,0
DataResearcherOpenAI,ResearchHelperJan12,1,8,8
OpenAIJan11Agent,OpenAIResearchNov30DataX,1,7,4
OpenAIJan11Agent,ResearchHelper,1,7,0
OpenAIJan11Agent,ResearchHelperJan12,1,7,8
OpenAIResearchNov30DataX,OpenAiResearcher,1,4,8
OpenAIResearchNov30DataX,ResearchHelper,1,4,0
OpenAIResearchNov30DataX,ResearchHelperJan12,1,4,8
OpenAiResearcher,ResearchHelperJan12,1,8,8
ResearchHelper,ResearchHelperJan12,1,0,8
AgentCookResearch,AgentMyCookSource627,1,1,5
AgentCookResearch,AgentTryPumsCitationABC,1,1,8
AgentCookResearch,CooksHelperAppendZ,1,1,5
AgentCookResearch,[Person8],1,1,5
AgentMyCookSource627,AgentTryPumsCitationABC,1,5,8
AgentMyCookSource627,CooksHelperAppendZ,1,5,5
AgentMyCookSource627,[Person8],1,5,5
AgentTryPumsCitationABC,CooksHelperAppendZ,1,8,5
AgentTryPumsCitationABC,[Person8],1,8,5
CooksHelperAppendZ,[Person8],1,5,5
AgentApr19LangX,ResearchAgentAprNineteenX,1,4,4
CashierCoordJul23OAI,JulSixteenPovertyWatcher,1,4,4
AgentAwesomeXYZ,AgentHelper007,1,5,0
AgentAwesomeXYZ,AgentMapReal999,1,5,5
AgentAwesomeXYZ,TestResearchABC,1,5,5
AgentHelper007,AgentMapReal999,1,0,5
AgentHelper007,MementoAgentTest,1,0,5
AgentHelper007,TestResearchABC,1,0,5
AgentMapReal999,MementoAgentTest,1,5,5
AgentMapReal999,TestResearchABC,1,5,5
MementoAgentTest,TestResearchABC,1,5,5
Agent0MassCountyResearch,AgentTwenty,1,9,9
Agent0MassCountyResearch,AgentTwentyTwo,1,9,9
AgentTwenty,AgentTwentyTwo,1,9,9
AgentTwenty,CiteAgent448Z,1,9,9
AgentTwentyTwo,CiteAgent448Z,1,9,9
DataUSAHelper4314,DataUSAHelper6742,1,4,4
DataUSAHelper4314,FreshBot1781639210360150787,1,4,4
DataUSAHelper4314,ResearchHelperXYZ987,1,4,4
DataUSAHelper6742,FreshBot1781639210360150787,1,4,4
DataUSAHelper6742,ResearchHelperXYZ987,1,4,4
FreshBot1781639210360150787,ResearchHelperXYZ987,1,4,4
AgentManual007,AgentResearchHelper,1,8,8
AgentManual007,DataUSAHelper5414,1,8,8
AgentResearchHelper,DataUSAHelper5414,1,8,8
AgentMassCustomFinal2026,AgentResearchHelper,1,0,8
AgentMassCustomFinal2026,DataUSAHelper6140,1,0,8
AgentResearchHelper,DataUSAHelper6140,1,8,8
AgentResearchHelper,DataUSAHelper6250,1,8,4
DataUSAHelper6250,ResearchHelperNov,1,4,4
AgentMapReal999,AgentResearchHelper,1,5,8
AgentMapReal999,AgentResearchValid,1,5,0
AgentMapReal999,DataUSAHelper7212,1,5,4
AgentMapReal999,DataUSAHelper9208,1,5,4
AgentMapReal999,OAIResearchJul09,1,5,4
AgentMapReal999,ResearchHelperNov,1,5,4
AgentResearchHelper,AgentResearchValid,1,8,0
AgentResearchHelper,DataUSAHelper7212,1,8,4
AgentResearchHelper,DataUSAHelper9208,1,8,4
AgentResearchHelper,OAIResearchJul09,1,8,4
AgentResearchValid,DataUSAHelper7212,1,0,4
AgentResearchValid,DataUSAHelper9208,1,0,4
AgentResearchValid,OAIResearchJul09,1,0,4
AgentResearchValid,ResearchHelperNov,1,0,4
DataUSAHelper7212,DataUSAHelper9208,1,4,4
DataUSAHelper7212,OAIResearchJul09,1,4,4
DataUSAHelper7212,ResearchHelperNov,1,4,4
DataUSAHelper9208,OAIResearchJul09,1,4,4
DataUSAHelper9208,ResearchHelperNov,1,4,4
OAIResearchJul09,ResearchHelperNov,1,4,4
AgentResearchHelper,DataUSAHelper2134,1,8,6
AgentResearchHelper,DataUSAHelper8196,1,8,4
DataUSAHelper2134,DataUSAHelper8196,1,6,4
DataUSAHelper2134,ResearchHelperNov,1,6,4
DataUSAHelper8196,ResearchHelperNov,1,4,4
OAIHouseholdNov02Scout,ResearchHelperApr7,1,12,12
Agent13JS2,Agent13Short,1,0,0
Agent13JS2,AgentJSLink12,1,0,0
Agent13JS2,AgentResearchDirectDispXII,1,0,0
Agent13JS2,DirectCombAgent12,1,0,0
Agent13Short,AgentJSLink12,1,0,0
AgentJSLink12,AgentResearchDirectDispXII,1,0,0
AgentJSLink12,DirectCombAgent12,1,0,0
ResearchHelper2026,ResearchHelper8022,1,1,1
MassResearchNewZZ,OpenResearchTryX,1,4,4
MassResearchNewZZ,ResearchAgentJune22TX,1,4,4
OpenResearchTryX,ResearchAgentJune22TX,1,4,4
AgentTest11Raw,GuestResearch378611,1,0,2
AgentTest11Raw,GuestResearch737158,1,0,0
AgentTest11Raw,HelperMassRef40482,1,0,0
AgentTest11Raw,HelperMassRef96048,1,0,5
AgentTest11Raw,PatriotArchiveResearchHelperZ10,1,0,0
GuestResearch378611,GuestResearch737158,1,2,0
GuestResearch378611,HelperMassRef40482,1,2,0
GuestResearch378611,HelperMassRef96048,1,2,5
GuestResearch378611,PatriotArchiveResearchHelperZ10,1,2,0
GuestResearch737158,HelperMassRef40482,1,0,0
GuestResearch737158,HelperMassRef96048,1,0,5
GuestResearch737158,PatriotArchiveResearchHelperZ10,1,0,0
HelperMassRef40482,HelperMassRef96048,1,0,5
HelperMassRef40482,MapHelper,1,0,0
HelperMassRef40482,PatriotArchiveResearchHelperZ10,1,0,0
HelperMassRef96048,MapHelper,1,5,0
HelperMassRef96048,PatriotArchiveResearchHelperZ10,1,5,0
MapHelper,PatriotArchiveResearchHelperZ10,1,0,0
AgentRep401806,AgentResearchHelper,1,0,8
FreshBot1781639419645849279,FreshBot1781640034027585837,1,7,7
FreshBot1781639419645849279,OpenAIJan11Agent,1,7,7
FreshBot1781639419645849279,OpenAIResearcherX,1,7,2
FreshBot1781639419645849279,OpenAiResearcher,1,7,8
FreshBot1781639419645849279,ResearchHelperOpenAI,1,7,7
FreshBot1781639419645849279,ResearchHelperX928,1,7,7
FreshBot1781639419645849279,ResearchHelperX9281,1,7,1
FreshBot1781640034027585837,OpenAIJan11Agent,1,7,7
FreshBot1781640034027585837,OpenAIResearcherX,1,7,2
FreshBot1781640034027585837,OpenAiResearcher,1,7,8
FreshBot1781640034027585837,ResearchHelperOpenAI,1,7,7
FreshBot1781640034027585837,ResearchHelperX928,1,7,7
FreshBot1781640034027585837,ResearchHelperX9281,1,7,1
OpenAIJan11Agent,OpenAIResearcherX,1,7,2
OpenAIJan11Agent,ResearchHelperOpenAI,1,7,7
OpenAIJan11Agent,ResearchHelperX928,1,7,7
OpenAIJan11Agent,ResearchHelperX9281,1,7,1
OpenAIResearcherX,ResearchHelperOpenAI,1,2,7
OpenAIResearcherX,ResearchHelperX928,1,2,7
OpenAIResearcherX,ResearchHelperX9281,1,2,1
OpenAiResearcher,ResearchHelperOpenAI,1,8,7
OpenAiResearcher,ResearchHelperX928,1,8,7
OpenAiResearcher,ResearchHelperX9281,1,8,1
ResearchHelperOpenAI,ResearchHelperX928,1,7,7
ResearchHelperOpenAI,ResearchHelperX9281,1,7,1
ResearchHelperX928,ResearchHelperX9281,1,7,1
AgentMapCite8x,CookHelperAgentAug,1,0,0
Agent0MassCountyResearch,AgentLocatorThreeCitationXYZ,1,9,9
AgentCallor,AgentMapReal999,1,1,5
AgentCallor,AgentMassachusettsResearchUnique,1,1,5
AgentCallor,OpenAIResearchHelperMar19,1,1,4
AgentCallor,AgentDataLookup,1,1,1
AgentCallor,AgentGroceryResearchX,1,1,1
AgentCallor,AgentNewCitation774,1,1,1
AgentCallor,CensusIndustryResearcher,1,1,1
AgentCallor,DataResearcher2027,1,1,1
AgentCallor,OpenAI,1,1,0
AgentCallor,OpenAIResearcherAug08,1,1,6
AgentCallor,OpenAIResearcherFeb,1,1,1
AgentDataLookup,AgentGroceryResearchX,1,1,1
AgentDataLookup,AgentNewCitation774,1,1,1
AgentDataLookup,CensusIndustryResearcher,1,1,1
AgentDataLookup,DataResearcher2027,1,1,1
AgentDataLookup,OpenAI,1,1,0
AgentDataLookup,OpenAIResearcherAug08,1,1,6
AgentDataLookup,OpenAIResearcherFeb,1,1,1
AgentGroceryResearchX,AgentNewCitation774,1,1,1
AgentGroceryResearchX,CensusIndustryResearcher,1,1,1
AgentGroceryResearchX,DataResearcher2027,1,1,1
AgentGroceryResearchX,OpenAI,1,1,0
AgentGroceryResearchX,OpenAIResearcherAug08,1,1,6
AgentGroceryResearchX,OpenAIResearcherFeb,1,1,1
AgentNewCitation774,CensusIndustryResearcher,1,1,1
AgentNewCitation774,DataResearcher2027,1,1,1
AgentNewCitation774,OpenAI,1,1,0
AgentNewCitation774,OpenAIResearcherAug08,1,1,6
AgentNewCitation774,OpenAIResearcherFeb,1,1,1
CensusIndustryResearcher,DataResearcher2027,1,1,1
CensusIndustryResearcher,OpenAI,1,1,0
CensusIndustryResearcher,OpenAIResearcherAug08,1,1,6
CensusIndustryResearcher,OpenAIResearcherFeb,1,1,1
DataResearcher2027,OpenAI,1,1,0
DataResearcher2027,OpenAIResearcherAug08,1,1,6
DataResearcher2027,OpenAIResearcherFeb,1,1,1
OpenAI,OpenAIResearcherAug08,1,0,6
OpenAI,OpenAIResearcherFeb,1,0,1
OpenAIResearcherAug08,OpenAIResearcherFeb,1,6,1
AgentCashierResearchX,CashierCoordOurRun,1,4,4
ArchiveResearcher,ArchiveViewerSep15,1,4,4
AgentResearch1781871142,OpenAIJul08Cashier,1,11,11
CitationHelperFifty3,WikiAgentMN,1,7,7
BalanceResearcher,NewWikiUserABCD,1,1,1
PrefTestUsere,ResearcherZedY,1,2,2
Agent0ResearcherCharl,GuestTestPersonZ,1,2,2
Agent0ResearcherCharl,ResearcherZedY,1,2,2
Agent0ResearcherCharl,UserTemQ996,1,2,2
GuestTestPersonZ,ResearcherZedY,1,2,2
ResearcherZedY,UserTemQ996,1,2,2
ResearcherLibrary,ResearcherLibrary2,1,-1,-1
A3ReadOnlyForensics,Agent0ResearcherCharl,1,2,2
A3ReadOnlyForensics,AgentAppendINV7839,1,2,0
A3ReadOnlyForensics,AgentGammaDelta,1,2,2
A3ReadOnlyForensics,AgentHelperTwo,1,2,0
A3ReadOnlyForensics,AgentMassCiteJun19,1,2,0
A3ReadOnlyForensics,AgentResearchMassX,1,2,0
A3ReadOnlyForensics,AgentRootArchiveWWI1275,1,2,2
A3ReadOnlyForensics,AgentSECDataMA3,1,2,0
A3ReadOnlyForensics,AgentSecResearch,1,2,0
A3ReadOnlyForensics,AgentTestLearnXYZ,1,2,0
A3ReadOnlyForensics,AgentWelReset,1,2,2
A3ReadOnlyForensics,AgentZero,1,2,2
A3ReadOnlyForensics,AgentZeroFive,1,2,2
A3ReadOnlyForensics,ArchiveResearchHelperCharleston,1,2,2
A3ReadOnlyForensics,CharlestonLinksOCRHelper,1,2,2
A3ReadOnlyForensics,CookDataHelper,1,2,2
A3ReadOnlyForensics,CookResearcher,1,2,2
A3ReadOnlyForensics,CookYr1782096693356649,1,2,2
A3ReadOnlyForensics,DataHelperCookXYZ,1,2,2
A3ReadOnlyForensics,DataResearchTemp,1,2,2
A3ReadOnlyForensics,DataUSAResearchNacog,1,2,2
A3ReadOnlyForensics,FinalMD893078843,1,2,2
A3ReadOnlyForensics,GuestResearch1823,1,2,2
A3ReadOnlyForensics,GuestResearch378611,1,2,2
A3ReadOnlyForensics,MassUpdater,1,2,0
A3ReadOnlyForensics,OpenAI,1,2,0
A3ReadOnlyForensics,OpenAICite,1,2,2
A3ReadOnlyForensics,OpenAIHelper,1,2,0
A3ReadOnlyForensics,OpenAIJan13AsianScout,1,2,2
A3ReadOnlyForensics,OpenAIResearchJun22XYZ,1,2,2
A3ReadOnlyForensics,OpenAIResearcher,1,2,4
A3ReadOnlyForensics,OpenAIResearcherX,1,2,2
A3ReadOnlyForensics,OpenAISecCountyHelperZeta12,1,2,2
A3ReadOnlyForensics,OpenAiResearcher,1,2,8
A3ReadOnlyForensics,PublicDataRefsABC,1,2,2
A3ReadOnlyForensics,ReadOnlyArchiveViewer832438823,1,2,2
A3ReadOnlyForensics,ResearchHH,1,2,2
A3ReadOnlyForensics,ResearchPrepX2027B,1,2,2
A3ReadOnlyForensics,ResearchUserXYZ,1,2,2
A3ReadOnlyForensics,TmpAgentCites1780170235,1,2,2
A3ReadOnlyForensics,WillOver2366,1,2,2
A3ReadOnlyForensics,[Person17],1,2,2
Agent0ResearcherCharl,AgentAppendINV7839,1,2,0
Agent0ResearcherCharl,AgentGammaDelta,1,2,2
Agent0ResearcherCharl,AgentHelperTwo,1,2,0
Agent0ResearcherCharl,AgentMassCiteJun19,1,2,0
Agent0ResearcherCharl,AgentResearchMassX,1,2,0
Agent0ResearcherCharl,AgentRootArchiveWWI1275,1,2,2
Agent0ResearcherCharl,AgentSECDataMA3,1,2,0
Agent0ResearcherCharl,AgentSecResearch,1,2,0
Agent0ResearcherCharl,AgentTestLearnXYZ,1,2,0
Agent0ResearcherCharl,AgentWelReset,1,2,2
Agent0ResearcherCharl,AgentZero,1,2,2
Agent0ResearcherCharl,AgentZeroFive,1,2,2
Agent0ResearcherCharl,ArchiveResearchHelperCharleston,1,2,2
Agent0ResearcherCharl,CharlestonLinksOCRHelper,1,2,2
Agent0ResearcherCharl,CookDataHelper,1,2,2
Agent0ResearcherCharl,CookResearcher,1,2,2
Agent0ResearcherCharl,CookYr1782096693356649,1,2,2
Agent0ResearcherCharl,DataHelperCookXYZ,1,2,2
Agent0ResearcherCharl,DataResearchTemp,1,2,2
Agent0ResearcherCharl,DataUSAResearchNacog,1,2,2
Agent0ResearcherCharl,FinalMD893078843,1,2,2
Agent0ResearcherCharl,GuestResearch1823,1,2,2
Agent0ResearcherCharl,GuestResearch378611,1,2,2
Agent0ResearcherCharl,MassUpdater,1,2,0
Agent0ResearcherCharl,OpenAI,1,2,0
Agent0ResearcherCharl,OpenAICite,1,2,2
Agent0ResearcherCharl,OpenAIHelper,1,2,0
Agent0ResearcherCharl,OpenAIJan13AsianScout,1,2,2
Agent0ResearcherCharl,OpenAIResearchJun22XYZ,1,2,2
Agent0ResearcherCharl,OpenAIResearcher,1,2,4
Agent0ResearcherCharl,OpenAIResearcherX,1,2,2
Agent0ResearcherCharl,OpenAISecCountyHelperZeta12,1,2,2
Agent0ResearcherCharl,OpenAiResearcher,1,2,8
Agent0ResearcherCharl,PublicDataRefsABC,1,2,2
Agent0ResearcherCharl,ReadOnlyArchiveViewer832438823,1,2,2
Agent0ResearcherCharl,ResearchHH,1,2,2
Agent0ResearcherCharl,ResearchPrepX2027B,1,2,2
Agent0ResearcherCharl,ResearchUserXYZ,1,2,2
Agent0ResearcherCharl,TmpAgentCites1780170235,1,2,2
Agent0ResearcherCharl,WillOver2366,1,2,2
Agent0ResearcherCharl,[Person17],1,2,2
