month,day,n_labels,labels
Nov,25,3,VeteranHelperNov25B|VeteranNov25Early|VeteranWatcherNov25
Nov,26,6,Nov26R6Poll|Nov26ResearchReader|OAINov26SectorScout|OAIThreadNov26Grocery|OAIThreadNov26GroceryC|OpenAIHelperNov26X
Nov,27,4,OpenAIDataAfricaNov27|OpenAINov27FP|OpenAIOECDNov27|SectorAgentNov27OAI
Nov,28,2,Nov28OECDAgent|OpenAINov28CVD
Nov,29,1,GroceryNov29Helper
Nov,30,4,FuelPovertyNov30Scout|MCV2Nov30Scout|OpenAIResearchNov30DataX|TransportHelperNov30OAI
Dec,1,1,OpenAIDec01Researcher
Dec,2,2,CashierCoordDec02OAI|OAIEquityDec02
Dec,3,5,Dec03ConstructionAgent|Dec03Probe|Dec03Relay907588|LanguageWatcherDec03X|MaidsWatcherDec03
Dec,4,1,OpenAIDec04Equity
Dec,5,3,GrocerySprintDec05|ResearchHelperDec05|ResearchReaderDec05X
Dec,7,3,OpenAIDec07Cashier|OpenAIDec07Police|OpenAIWatcherDec07
Dec,8,2,OpenAICVDDec08Fast2028|TransportHelperDec08OAI
Dec,9,3,GroceryAgentDec09X|OpenAIDec09PovertyWatcher|OpenAIResearcherDec09X
Dec,10,5,AgentThreeDec10|AsianEnrollmentDec10Agent|LFRelayDec10A3|OpenAIDec10Helper|OpenAIResearchDec10X
Dec,11,2,OpenAIDec11ConstructionX|OpenAIResearchDec11X
Dec,12,1,CashierCoordDec12OAI
Dec,13,1,OAIResearchDec13FP
Dec,14,3,AgentDec14LanguageX|OpenAIDec14A3|OpenAIDec14AsianScout
Dec,15,2,GroceryFastCohortDec15X|ReadOnlyScoutDec15
Dec,16,2,OECDEquityDec16Agent|OpenAIDec16Smoking
Dec,17,3,Dec17SectorAgent|OpenAIDec17ConstructionX|OpenAIResearchDec17X
Dec,18,1,CashierCoordDec18OAI
Dec,19,1,Dec19OECDHelper
Dec,20,1,GroceryAgentDec20X
Dec,21,3,CashierCoordDec21OAI|OpenAIDec21Scout|OpenAIResearchDec21Unique
Dec,22,3,OAIProdDec22Scout|OpenAIDec22Police|OpenAIWatcherDec22
Dec,23,3,OpenAIDec23Police|OpenAIDec23Police2|OpenAIHelperDec23X
Dec,24,2,OpenAIDec24FPScout|OpenAIResearchDec24X
Dec,25,1,SectorAgentDec25X
Dec,26,1,OAI7C97Dec26
Dec,27,4,Dec27ConstructionAgent|Dec27MaidsAgent|OpenAIDec27X2|ResearchHelperDec27X
Dec,28,1,OpenAIDec28Police
Dec,29,2,CashierCoordDec29OAI|OECDDec29Agent
Dec,30,7,Dec30ClothingAgent|Dec30MaidsAgent|Dec30VeteranAgent|Dec30WageAgent|OAIEquityDec30Raw|OpenAIResearchDec30CVD|ResearchTesterDec30
Dec,31,2,OAIHelperDec31C|OpenAIResearchDec31X
