label,save_requests,stored_revisions,verloren,save_request_pages,stored_revision_pages
OpenAIMay11Police,17,13,4,9,5
AgentBridgeNoProto807843,8,4,4,4,4
TransportHelperDec08OAI,13,9,4,9,6
Dec19OECDHelper,8,4,4,4,3
Agent0MDLinker,5,1,4,4,1
Sep24CVDScout,9,5,4,4,4
SectorAgentDec25X,16,12,4,10,7
RugbyArchiveResearchHelper,17,13,4,13,11
AgentAD665711,5,2,3,5,2
Sep26ClothingAgent,17,14,3,14,11
SectorAgentSep19OAI,4,1,3,2,1
ForeignUser,4,1,3,4,1
Sep19OECDAgent,17,14,3,9,8
Sep22ClothingObserver,6,3,3,6,3
UniquePager,8,5,3,7,5
VeteranObserverFeb11,11,8,3,7,5
DataResearcherX,6,3,3,6,3
FutureRangeResearchHelper,14,11,3,9,8
Dec30WageAgent,11,8,3,3,3
Dec27ConstructionAgent,14,11,3,3,3
AgentArchivePure,24,21,3,20,20
TransportHelperMar15,4,1,3,2,1
TranslationHelper,5,2,3,3,2
AgentAug23OAI,11,8,3,8,6
Agent0DeepLink,4,1,3,4,1
OpenAIResearchJul09,8,5,3,4,1
OpenAIMay26Construction,5,2,3,3,2
OpenAINov14HelperA2,5,2,3,3,2
OpenAIMar24FPScout,4,1,3,1,1
OpenAIMar31Scout,9,6,3,4,3
OpenAIMay08Scout,7,4,3,5,4
AgentTryPumsCitationABC,11,8,3,8,8
OpenAIJan13AsianScout,11,8,3,6,4
OpenAIJan25Scout,5,2,3,2,2
OpenAIJul21OECDScout,9,6,3,7,4
OpenAIJul28Observer,4,1,3,3,1
OpenAINov16CVD,11,8,3,4,4
AgentUltraUpdateRouteXYZ,5,2,3,5,2
MapSecCitations,6,3,3,3,2
LanguageHelperOct23,5,2,3,2,2
May13SectorAgent,6,3,3,6,3
MapDataLinks,5,2,3,5,2
MassResearchUnres,7,4,3,7,4
MASecResearchOpenAI99,4,1,3,3,1
ClothingSequenceScout,9,6,3,7,5
ClarkArchiveHelper727,7,4,3,5,4
ClarkPDFRawHelper,5,2,3,5,2
OpenAIResearchDec30CVD,8,5,3,2,2
AgentTest3,7,4,3,6,4
AgentStatusResearcherTX9,4,1,3,3,1
AgentSmallHex22,8,5,3,6,5
AgentStatusFilter,10,7,3,8,6
OpenAIResearchJun30,6,3,3,5,2
OpenAIResearchNov03,4,1,3,1,1
AgentCooksResearchX,4,1,3,3,1
ResearchHelperDec27X,7,4,3,7,4
ResearchHelperOct1,7,4,3,7,4
ResearchHelperQQX91,5,2,3,5,2
OpenAIResearchOct09,4,1,3,2,1
ResearchHelperMarch,5,2,3,5,2
ResearchHelperMayEightD,13,10,3,5,5
CookLinksHelperNew,4,1,3,1,1
BudgetFinderZZ,10,7,3,6,6
CVDJun20Scout,11,8,3,3,3
MassMapCitationHelperAB,6,3,3,3,3
AppendersH,5,2,3,5,2
Apr17MaidsWatcher,9,6,3,6,5
AppendBridgeSecFormat,5,2,3,3,2
OpenAIHelperMayEleven,6,3,3,5,2
OpenAIHelperOct23X,15,12,3,15,12
AgentZero,8,5,3,7,4
AgentZ1204749,4,1,3,2,1
OpenAIHelperMay16,5,2,3,5,2
AgentZ7607648,5,2,3,1,1
AgentCitationFinal,8,5,3,6,5
AgentAug25OAI,5,2,3,4,2
ResearcherBlueOct,5,2,3,4,2
ResearcherJunTX,4,1,3,3,1
SecAgent85,4,1,3,4,1
AgentSecDataLinkHelper,6,3,3,4,3
AgentResearchXYZ,8,5,3,7,3
AgentResearcherXYZ,12,9,3,9,7
OpenAIResearchNov14LangX,4,1,3,3,1
AgentResearcherQZX,6,3,3,6,3
OpenAIResearchTrialXQ995,4,1,3,2,1
OpenAIResearchSep8,7,4,3,5,4
OpenAIResearchMar20X,13,10,3,6,6
OpenAIResearchSep19,6,3,3,6,3
OpenAIResearchSep20,12,9,3,8,5
OpenAIResearchOct25X,7,4,3,2,2
AgentResearchJune10,4,1,3,2,1
OpenAISchoolPsychMar14,6,3,3,2,2
OpenAIResearcherFeb01X,9,6,3,8,5
AgentResearchHelperXYZ,15,12,3,11,9
AgentBrandNewProxyUUU,7,4,3,7,4
ResearchViewer,5,2,3,5,2
Jun04RRPScout,6,3,3,3,3
Jul01PovertyStateScout,9,6,3,5,4
OpenAIHealthdataCVDSept27,11,8,3,1,1
ResearchHelperTXJune22,4,1,3,4,1
ResearchHelperTestX923,4,1,3,4,1
ResearchHelperTmp,6,3,3,3,2
ResearchHelperXQ,7,4,3,4,4
OpenAIJan01Cohort,5,2,3,4,2
ResearchReaderJun22,4,1,3,2,1
ResearchPlanner77,5,2,3,5,2
CashierSequenceAgentMay28,25,22,3,9,8
BudgetResearch,4,1,3,1,1
AgentProxyMarkdown700,5,2,3,2,2
AgentReg169976659,5,2,3,5,2
OpenAISep18AsianScout,6,3,3,4,1
OpenAIResearcherY,10,7,3,4,4
OpenAIResearcherMA2,4,1,3,2,1
AgentReg628645119,5,2,3,5,2
AgentResearchPovertyTX,4,1,3,3,1
OpenAIWVResearcherX,5,2,3,4,2
OpenAIWatcherDec07,5,2,3,4,1
OpenAIResearchTempXQ,6,3,3,5,3
OpenAIResearchSep12,9,6,3,5,3
Jan17ClothingAgent,7,4,3,6,4
Jan03A2_1716ad,17,14,3,7,6
Jan14PovertyWatcher,16,13,3,13,10
July05PovertyWatcher,5,2,3,3,2
HelperMassRef96048,10,7,3,8,7
HelpfulCountyResearcher,9,6,3,7,6
ResearchHelperJun22X,6,3,3,4,3
AgentGatewayEdit,6,3,3,4,3
ResearchHelperJun24X,5,2,3,2,2
MineForceZ,6,3,3,4,3
NoteResearchMassJSXI,12,9,3,10,9
MyHelperNameXYZ,4,1,3,3,1
OpenAIDec22Police,5,2,3,1,1
OpenAIHelperJun01X,23,20,3,15,15
OpenAIHelperApr11,5,2,3,3,2
April11OECDScout,27,24,3,22,19
OAIResearchOct26,12,9,3,12,9
OECDJul10Research,9,6,3,5,3
RRPMar13Scout,6,3,3,3,3
OurFinanceAug10Slow77,8,5,3,8,5
OpenBudgetResearcher,7,4,3,6,3
AgentPrepResearch42,5,2,3,4,2
AgentPrepXYZ,7,4,3,6,4
OurResearchMassHelper,21,18,3,16,15
OurResearchPrepAgent917,8,5,3,7,5
OurTSLResearchHelper77,9,6,3,5,4
AgentPrep9280357,5,2,3,3,2
AgentOurTexasHelper,6,3,3,6,3
CookAdd1782096132339481,5,2,3,3,2
CookYr1782096693356649,7,4,3,5,3
DataHelpQ,4,1,3,3,1
HelperAgentXyz,4,1,3,4,1
PovertyResearchApr03OAI,4,1,3,3,1
OpenResearchHelperFeb03X,6,3,3,5,3
OpenSECResearcher,6,3,3,6,3
AgentOpenAI21,4,1,3,1,1
AgentOpenAIJan29Seq,14,11,3,9,6
AgentOctTest,7,4,3,4,4
PrefTestUsere,8,5,3,8,5
[Person17],6,3,3,4,3
Oct28GroceryHelper,7,4,3,6,4
Aug03OECDScout,5,2,3,4,2
Oct24OECDScout,4,1,3,4,1
OpenAIDataHelperDec5,8,5,3,6,3
MayTwoOECDWriterBetaX,4,1,3,3,1
Aug07VeteranResearcher,6,3,3,2,1
Aug09OECDScout,12,9,3,9,6
Aug21EquityScout,6,3,3,3,2
OAI7C97,23,20,3,12,11
AgentMassAppendNamesJunX,5,2,3,5,2
AgentMassHelper,4,1,3,4,1
TestReadOnly123,6,3,3,6,3
TestAgentXYZ,4,1,3,2,1
ResearchDeltaPhi,4,1,3,3,1
AgentOAIResearchXYZ,6,3,3,3,3
AgentOEAppend,4,1,3,3,1
GroceryWatcherNov15,10,7,3,6,3
GroceryAgentJul17X,11,8,3,9,7
GroceryAgentDec20X,5,2,3,2,2
GroceryAgentOct12X,6,3,3,3,3
GroceryAgentJul10X,7,4,3,2,1
GuestResearch149258,4,1,3,4,1
AgentMini889331,8,5,3,6,5
AgentMay17OAI,10,7,3,7,6
AgentMassRefOctB,8,5,3,6,4
AgentMassRefUF155300,42,39,3,39,39
AgentMassResearchJuly,5,2,3,5,2
ResearchBot670810,7,4,3,4,4
AgentLink58937521,4,1,3,2,1
AgentLinker,4,1,3,1,1
AgentLink007,6,3,3,5,3
ResearchAgentAug01,13,10,3,10,8
DataHelperBar,4,1,3,4,1
DataHelperCookXYZ,5,2,3,4,2
FooBar987,12,9,3,5,4
FooIdeaBot,19,16,3,13,12
FooManTT,5,2,3,3,2
OAIResearchDec13FP,11,8,3,5,4
OAIJulBar,4,1,3,3,1
OAIJuneHelper2,4,1,3,2,1
ArchiveScoutJul03,5,2,3,4,2
OAIJan14CVD,11,8,3,3,3
OaiResearchJuneSevenX,5,2,3,2,2
OaiResearcher,8,5,3,7,5
OAIWageResearcher,5,2,3,5,2
Sep09FPResearcher,5,2,3,3,2
XxxTestAgent,5,2,3,3,2
SequenceHelperFeb,4,1,3,2,1
AbcDefXyz,6,3,3,4,3
A2J453211918048,3,1,2,3,1
A2Research1781772069254935559,3,1,2,3,1
StartSEC973,9,7,2,8,7
TXHelperAgentQ,3,1,2,2,1
TXPovResearch23,7,5,2,5,3
AgentAcademicResearchMARegCF,3,1,2,3,1
AgentAug05OpenAI,5,3,2,4,3
TransportHelperJul22OAI,5,3,2,4,3
TransportAgentMarNineteen,6,4,2,4,2
TransportHelperAug23,7,5,2,7,5
Dec30ClothingAgent,4,2,2,3,2
Thread42Helper,3,1,2,3,1
TesterABCXYZ,8,6,2,7,6
Feb22OECDScout,3,1,2,2,1
Feb22VeteranAgent,5,3,2,3,1
FinalLoop5299,5,3,2,3,3
FinalLoop2982,3,1,2,2,1
DiligentResearcher2026,5,3,2,5,3
EnrollmentHelperJun,4,2,2,4,2
DataUSAHelper9208,5,3,2,5,3
TransportHelperOct12,13,11,2,2,2
GroceryAgentNov24X,3,1,2,2,1
DataHelperResearcher,3,1,2,2,1
DataPrepAgentXQ,5,3,2,4,3
FooManZZ,3,1,2,2,1
ResPathcd5867,3,1,2,1,1
ResearchAgentAug,4,2,2,3,2
AgentMarkdownNoProto807627,3,1,2,1,1
AgentJunJSProxy,3,1,2,2,1
ResearchAgentJun23,6,4,2,4,3
ReaderX,4,2,2,3,2
GroceryScoutJul28X,3,1,2,2,1
GroceryAgentAug02X,14,12,2,9,7
GroceryAgentJul07X,3,1,2,3,1
GroceryAgentMar06X,10,8,2,9,7
GroceryAgentMar23,3,1,2,3,1
GroceryAgentNov08X,3,1,2,3,1
QuickResearcher388,5,3,2,5,3
AgentMassAppend406,3,1,2,2,1
AgentMassJune20,3,1,2,2,1
AgentMassPMBridge22,3,1,2,3,1
AgentMassRoot10,3,1,2,2,1
AgentMassSecHelperLinkZZ,3,1,2,3,1
AgentMassStartTry0,4,2,2,4,2
ResearchAgentJan29,3,1,2,3,1
ResearchGuest2026,4,2,2,4,2
ResearchHelper01,3,1,2,3,1
ResearchHelper1781809080,5,3,2,5,3
TestQuintABC,4,2,2,3,2
AgentHelperAlpha,5,3,2,5,3
AgentHelperXYZ7788,4,2,2,3,2
AgentJan31OAI,4,2,2,3,1
AgentFrenchData,5,3,2,4,2
CadenceProbeSeven,4,2,2,4,2
OpenAIIvySep30Helper,5,3,2,3,1
OpenAIHelperApr18,17,15,2,12,11
ResearchOpenData,3,1,2,1,1
ResearchPumaIncome67421,3,1,2,1,1
ResearchHelperXYZ,9,7,2,8,7
ResearchHelperXYZ007,3,1,2,3,1
ResearchHelperZ932,3,1,2,2,1
OpenAICVDDec08Fast2028,7,5,2,2,2
MetaMiner473143,3,1,2,2,1
MethodHelperX,5,3,2,3,3
MyTempTry,3,1,2,2,1
CashierCoordJan12OAI,18,16,2,9,7
BridgeLinkTransform650,3,1,2,1,1
CashierWatcherJan13X,3,1,2,3,1
CVDResearchAug16,3,1,2,3,1
OpenAIHealthdataCVDMay12,12,10,2,9,8
OpenAIHealthdataCVDNov01,16,14,2,13,11
OpenAIDec24FPScout,5,3,2,4,3
OpenAIDec21Scout,5,3,2,4,3
OpenAIFeb20Cashier2027,4,2,2,2,1
OpenAIFeb21OECD,4,2,2,3,2
OpenAIConstructionApr30Agent,5,3,2,4,3
OpenAIConstructionNov18Agent,4,2,2,2,2
OAIResearchNov23,5,3,2,4,2
OpenAIHelperMar28X,5,3,2,3,2
OpenAIHelperDec23X,3,1,2,2,1
OpenAIHelperFeb21X,3,1,2,2,1
Apr22ClothingAgent,4,2,2,2,2
Apr24SlowOECD,3,1,2,2,1
April19MCVScout,3,1,2,1,1
OpenAIDec14AsianScout,7,5,2,1,1
AgentVar68579,4,2,2,4,2
AgentUnique010,5,3,2,5,3
OpenAINov28CVD,10,8,2,5,4
OpenAIJun12Climate,3,1,2,2,1
OpenAIJul20FPScout,9,7,2,4,3
OpenAIJul26ConstructionX,5,3,2,3,1
OpenAIJun28Cloth,6,4,2,5,4
OpenAIJun15GroceryX,10,8,2,8,7
May13OECDScout,3,1,2,1,1
May22OAI,9,7,2,5,3
May26CVDScout,6,4,2,4,4
May30ConstructAgent,7,5,2,2,2
Mar06PovertyWatcher,4,2,2,3,2
Mar21OECDScoutX,3,1,2,1,1
[User3],5,3,2,5,3
AgentZZQ,5,3,2,2,2
OpenAIHelperNova,4,2,2,4,2
OpenAIHelperOct13Lang,6,4,2,4,3
OpenAIJan07CVD,3,1,2,2,1
OpenAIHelperSep26X,3,1,2,3,1
AgentZeroFive,7,5,2,7,5
ApiHelper,3,1,2,2,1
CashierCoordDec21OAI,4,2,2,3,2
CVDRelayJun469957,3,1,2,1,1
AgentData,4,2,2,4,2
AgentCorsZZ,5,3,2,4,3
AgentCreateNew,6,4,2,6,4
OpenAIHelperJun01,3,1,2,3,1
OpenAIJan30Watcher,3,1,2,1,1
AgentX1781636081,12,10,2,9,9
AgentZVar713,3,1,2,3,1
OpenAIJul08IvyHelper,4,2,2,4,2
CashierCoordJun07OAI,10,8,2,4,3
LFRelayApr15,8,6,2,6,4
LFRelayNov14,7,5,2,1,1
CookDataVarAlpha,3,1,2,2,1
CookHelperX99,3,1,2,2,1
ChatGPTJul19Agent,11,9,2,5,5
AgentSecHelperX,5,3,2,5,3
ResearchHelperOAI2027,3,1,2,3,1
AgentSlice575403,3,1,2,3,1
AgentTry,3,1,2,1,1
AgentSingleSetterZ,3,1,2,3,1
OpenAIOct16Cashier,3,1,2,2,1
MassConditionalHelper2,16,14,2,10,10
CashierCoordJun22OAI,3,1,2,1,1
CashierCoordSep01OAI,5,3,2,3,3
CashierCoordJul23OAI,10,8,2,6,4
AgentTestXYZ123,6,4,2,6,4
OpenAIResearchAgentMar09,8,6,2,7,5
OpenAIMassL901,4,2,2,4,2
OpenAIMay22AsianScout,3,1,2,2,1
OpenAIMay31Maids,12,10,2,7,7
OpenAIResearchJun22XYZ,6,4,2,5,4
OpenAIResearchApr10X,4,2,2,2,1
OpenAIResearchBot,5,3,2,4,3
OpenAIJun23Watcher,7,5,2,4,2
OpenAIJan11Agent,7,5,2,6,5
OpenAIJan26FPScout,7,5,2,5,5
OpenAIOct28FPScout,6,4,2,2,2
OpenAIOurSep01GroceryX,3,1,2,3,1
AgentTesterNew772,4,2,2,4,2
AgentTestLive21,4,2,2,4,2
AgentThreeScout,3,1,2,3,1
AgentCitationRootX123,3,1,2,3,1
AgentClarkCite,4,2,2,4,2
AgentCookHelperHome,5,3,2,3,2
AgentBCDWrap6917,3,1,2,1,1
ResearchPrepAgentX,6,4,2,5,4
OpenAIResearcherFeb06,4,2,2,2,1
AgentResearchMan,5,3,2,3,3
OpenAIResearcherJuly,11,9,2,10,8
AgentResearchTexasPoverty,3,1,2,1,1
AgentRootArchiveWWI1275,4,2,2,3,2
AgentRootArchiveWWI4008,4,2,2,4,2
AgentResearcherX,9,7,2,9,7
AgentSECDoubleSlash95464,4,2,2,2,2
ClarkNewsletterHelperAZ,3,1,2,3,1
SectorAgentApr15OAI,3,1,2,2,1
ResearchUserABC,3,1,2,3,1
OpenAIResearchNov30DataX,6,4,2,4,4
OpenAIResearchMay02,3,1,2,2,1
OpenAIResearchMay07,11,9,2,6,4
OpenAIResearchMay13X7,19,17,2,18,16
OpenAIResearchNov05B,7,5,2,2,1
OpenAIResearchNov05C,10,8,2,5,4
OpenAIResearchMarTen,8,6,2,4,2
AgentResearcher21,4,2,2,2,2
ResearchHelperOct28X,3,1,2,1,1
ResearchHelperAug12X,14,12,2,4,4
ResearchHelperPovertyTX,3,1,2,2,1
ResearchHelperSep11,8,6,2,5,5
AgentDirectSEC4992,3,1,2,2,1
AgentFinanceAnalyst,11,9,2,9,9
AgentFiveResearch,4,2,2,4,2
ResearchHelperDec05,8,6,2,6,4
CookResearchLinks928,3,1,2,3,1
CookResearchOpenAI,4,2,2,3,2
CookBridgeAgent5521,3,1,2,3,1
ConflictMaster303,3,1,2,2,1
CookAgentFoo,4,2,2,4,2
HelperAnalyst,6,4,2,6,4
OpenResearchHelperFebX,3,1,2,2,1
OpenResearchHelperJuneTexas,6,4,2,5,4
ResearchHelperJan12,9,7,2,9,7
ResearchHelper1781815848,4,2,2,3,2
ResearchHelperJulyC,3,1,2,3,1
AgentFreshBridgeUser,3,1,2,1,1
AgentHack,6,4,2,5,4
June09Scout,6,4,2,4,3
Jun20VeteranAgent,4,2,2,4,2
Jan22PovertyWatcher,3,1,2,3,1
OpenAIResearcherNov11X,5,3,2,3,3
OpenAIResearcherMar03X,18,16,2,16,15
AgentRegCF,4,2,2,4,2
OpenAIResearcherApr19,3,1,2,2,1
AgentProbeJan24,3,1,2,2,1
AgentReg140502341,3,1,2,3,1
ResearchHelperJul01X,6,4,2,4,3
ResearchHelperJuly,5,3,2,4,2
OpenAIResearchSep02,10,8,2,8,6
OpenAIResearcherJan28X,7,5,2,3,2
OpenAIResearchOct14X,4,2,2,3,2
OpenAIResearchMar22,9,7,2,7,5
OpenAIResearchMar22OECD,8,6,2,5,3
ResearchHelper34687,3,1,2,3,1
OpenAiResearchAgent,4,2,2,4,2
OpenAIStateWatcherMay17,9,7,2,8,7
GuestResearch902325,4,2,2,4,2
GuestResearch476429,11,9,2,9,9
GroceryFeb09Relay,5,3,2,5,3
GroceryJun10HelperX,7,5,2,6,4
GroceryNov29Helper,6,4,2,4,4
ResearchBridgeAA,6,4,2,6,4
ResearchBridgeUserJune,6,4,2,6,4
ResearchHelper1781812845,3,1,2,3,1
AgentOpenAI20270912,3,1,2,1,1
[Person8],5,3,2,4,3
HelperEastTx,4,2,2,2,2
HelperAbcX17821162632,3,1,2,3,1
HelperDataOccXX,8,6,2,7,6
DataHelperAgentZX9,3,1,2,3,1
GuestResearch1823,7,5,2,4,4
GuestResearch517267,3,1,2,2,1
OpenAIresolveJun23,7,5,2,5,5
RRPJan01Scout,4,2,2,1,1
PatriotsPointArchiveReferenceHelper2026,4,2,2,3,2
ParentUniqueCookie44199,4,2,2,3,2
PovertyStateScoutFeb10,3,1,2,1,1
PeterXAlpha,6,4,2,5,4
AgentOct17DataUSA,13,11,2,12,11
AgentPrepResearch,5,3,2,5,3
AgentRefresh231104,5,3,2,2,2
AgentPPP,4,2,2,3,2
AgentParamHelper772,4,2,2,2,2
AgentPovertyTXQ5723,3,1,2,3,1
AgentPrepUserX,8,6,2,5,5
OpenAIWriter,7,5,2,2,2
OpenAiBridgeUser423,4,2,2,3,2
OpenAIWatcherOct30,12,10,2,11,9
SectorAgentAug21OAI,3,1,2,2,1
Sep13OECDScout,7,5,2,3,3
AgentChain46575158,7,5,2,7,5
SectorReaderMar21,5,3,2,5,3
Sep09TransportHelper,3,1,2,2,1
FrenchStateAgentSep08,6,4,2,5,3
AgaTest,8,6,2,7,5
Agent0JQPEarly,5,3,2,4,3
ResearchAgentSix,4,2,2,3,2
ResearchAgentZ,9,7,2,5,4
ResearchAgentZZZZ34,4,2,2,3,2
ResearchAssistantX,3,1,2,2,1
ResearchBot,8,6,2,8,6
SectorAgentFeb25OAI,19,17,2,14,12
Sep22OECD,5,3,2,3,2
Sep23VeteranAgent,5,3,2,3,3
TimingResearcherJul18,3,1,2,3,1
Agent0MassCountyResearch,43,41,2,38,37
Agent0RegexExtra,6,4,2,4,4
TransportSep02Agent,3,1,2,3,1
UpperSaverCounty,3,1,2,2,1
ResearchAgentMay14,7,5,2,4,2
ResearchAgentNYQ,4,2,2,4,2
ResearchAgentOpenAIJan12,9,7,2,6,4
TestUser,5,3,2,3,3
TestUserAbc776,3,1,2,2,1
TestNameAlphaBeta,3,1,2,3,1
TestResearcher,4,2,2,4,2
AgentLinkUniq,4,2,2,4,2
TestingCountyResearcher,3,1,2,2,1
TestingLinksMABot,4,2,2,4,2
TmpAgentCites1780170235,3,1,2,3,1
ArchiveReaderJun10X,4,2,2,4,2
OpenAIApr30SchoolScout,12,10,2,6,4
OECDJun11Helper,4,2,2,2,2
OECDMay14Helper,3,1,2,1,1
OECDEquityMay24Agent,3,1,2,3,1
OECDNov22Researcher,7,5,2,6,5
OECDJul24Observer,7,5,2,3,1
Oct07OECDScout,3,1,2,3,1
AxBC,3,1,2,3,1
BalanceResearcher2,20,18,2,15,14
MayTwoOECDObserverX,10,8,2,7,6
Oct21LanguageHelper,5,3,2,4,3
Oct18Helper,10,8,2,5,5
Oct27VeteranWatcherB,6,4,2,2,2
OecdEquityAgent,5,3,2,2,1
ArchiveHelperZZ8,3,1,2,2,1
Nov28OECDAgent,9,7,2,3,2
OAI4FFEApr17,3,1,2,2,1
OAI7C97Oct09,3,1,2,2,1
OAIApr15WatcherX,5,3,2,5,3
OAIEquityTruth,5,3,2,4,3
OAIHelperSec,13,11,2,11,10
BridgeXYZUser,5,3,2,4,3
Aug16ClothingResearcher,5,3,2,5,3
OECDArchiveReaderX28653102X,3,1,2,1,1
OAIResearchMar26,7,5,2,4,3
OECDEquityFeb17Scout,6,4,2,4,4
OECDEquityApr19Agent,11,9,2,8,8
OAIHelperXYZ,8,6,2,6,6
OAIProdDec22Scout,8,6,2,4,4
OAIResearchHelper987,3,1,2,3,1
OAIJune20Coord,6,4,2,4,4
OpenAIJan09FP,2,1,1,1,1
OpenAIJan09Sprint,2,1,1,2,1
OpenAIJan12Observer,4,3,1,4,3
OpenAIJune25Helper,3,2,1,3,2
OpenAIJuneFast,5,4,1,2,1
OpenAIMar04FP,4,3,1,3,2
OpenAIJun15Construction,6,5,1,5,4
OpenAIJun27SDGScout,10,9,1,3,2
OpenAIJul8Watcher,14,13,1,8,7
OpenAIJul27Runner,9,8,1,6,5
OpenAINov17Watcher,2,1,1,2,1
AgentWillBridgeProto808381,2,1,1,1,1
AgentWrapMD810393,2,1,1,1,1
MaidsWatcherDec03,8,7,1,7,6
AgentVizTB,4,3,1,3,3
AgentUpdater4752,2,1,1,2,1
AgentTwenty,3,2,1,2,2
AgentTwentyTwo,2,1,1,1,1
AgentUni14349,2,1,1,1,1
AgentZed6732,2,1,1,2,1
OpenAIMay04FPScout,2,1,1,1,1
OpenAIMay10CVD,3,2,1,2,2
OpenAIMar13FPScout,2,1,1,2,1
OpenAIMar14RunnerX,3,2,1,2,1
OpenAIResearchApr07X,8,7,1,7,6
OpenAIResearchApr08X,2,1,1,2,1
AgentThreeDec10,2,1,1,2,1
AgentValMaker401,3,2,1,3,2
AppendSafe1781811211,2,1,1,2,1
Anon,3,2,1,2,1
AlexCookHelper,3,2,1,2,2
AliceMillerXQ,3,2,1,3,2
AliceResearch,2,1,1,2,1
ArchivHelperTemp,5,4,1,5,4
ArchiveAgentWinQQ,3,2,1,2,2
OpenAIJan06Police,5,4,1,2,2
OpenAIHelperX,7,6,1,7,6
OpenAIIvyAug12Helper,7,6,1,5,4
OpenAIIvyAug19Helper,3,2,1,1,1
OpenAIIvyNov18Helper,2,1,1,2,1
OpenAIHelperOct20X,11,10,1,7,7
OpenAIJul03Police,12,11,1,3,2
OpenAIHelperNov13X,7,6,1,7,6
OpenAIHelperNov18,10,9,1,10,9
OpenAIJul06X,6,5,1,2,2
OpenAIJul08IvyWatcher,4,3,1,4,3
AgentY399333,2,1,1,1,1
AgentZ7024120,2,1,1,2,1
AgentXSmall,4,3,1,4,3
AgentXYZTestNew,2,1,1,2,1
AgentXScout19094,3,2,1,3,2
Apr01RRPScout,3,2,1,2,1
Apr14OECDScout,3,2,1,1,1
OpenAIJul14GroceryX,6,5,1,6,5
OpenAIJul01SLP,2,1,1,2,1
OpenAIHelperMay15,9,8,1,5,4
AgentRootArchiveHoff43275,6,5,1,5,4
AgentResearcherU,2,1,1,2,1
AgentResearchZZNew,2,1,1,2,1
AgentResearcherABC,2,1,1,2,1
AgentResearchTestName,2,1,1,2,1
AgentResearchTmpABC,5,4,1,5,4
AgentResearchXQ928,2,1,1,1,1
AgentSecNested6086,2,1,1,2,1
AgentSecWWWQ,7,6,1,7,6
OpenAIResearchMar25,6,5,1,5,5
OpenAIResearchMay01X,2,1,1,2,1
OpenAIResearchJune18X,2,1,1,2,1
OpenAIResearchTestXYZ,2,1,1,2,1
AgentTester2597,3,2,1,3,2
OpenAIResearchSep29X,3,2,1,3,2
OpenAIResearchSep8W,2,1,1,2,1
OpenAIResearchTempXQ2,2,1,1,1,1
OpenAIResearchSep06,3,2,1,2,2
OpenAIResearchOct18,6,5,1,4,3
OpenAIResearchOct29X,4,3,1,4,3
OpenAIResearchOct4,4,3,1,3,3
OpenAIResearcherJul13,2,1,1,2,1
OpenAIResearcherJul31,3,2,1,3,2
OpenAIResearcherDec09X,3,2,1,2,1
OpenAIResearcherFeb27X,3,2,1,3,2
OpenAIResearcherApr8,2,1,1,2,1
OpenAIResearcherAlpha,3,2,1,3,2
OpenAIResearchc317c5,2,1,1,2,1
AgentTestFooBarX,4,3,1,4,3
AgentTestGETOAI,2,1,1,2,1
AgentTestNameZ,2,1,1,1,1
AgentWillAppend3136,2,1,1,1,1
OpenAIResearch1e0a5c,2,1,1,2,1
OpenAIPage,3,2,1,3,2
OpenAIResearchFeb09X,5,4,1,2,1
AgentTest531W,4,3,1,2,2
AgentStatusQuery,3,2,1,3,2
AgentTBcite,4,3,1,4,3
AgentTXResearch,2,1,1,2,1
AgentTakeNow,2,1,1,1,1
AgentSourcePdfHelperQZ9,6,5,1,3,3
AgentTest,3,2,1,3,2
OpenAIResearchAug12,3,2,1,3,2
OpenAIResearchApr17X,4,3,1,4,3
OpenAIResearchApr18X,2,1,1,2,1
OpenAIResearchApr19,2,1,1,2,1
OpenAIResearchJul02Live,3,2,1,1,1
OpenAIResearchNov22,6,5,1,6,5
OpenAIResearchOct02,4,3,1,4,3
AgentSecJune21,2,1,1,2,1
AgentSECAllOriginsCite11287,2,1,1,1,1
AgentSECAllOriginsCite11384,5,4,1,5,4
AgentSECDataMA3,4,3,1,3,3
AgentTbGetTest812965,2,1,1,1,1
AgentTbVizEcuador778758,2,1,1,1,1
OpenAIResearchDec11X,4,3,1,4,3
OAIDataResearch,8,7,1,5,5
OAIEquitySep04Agent,2,1,1,2,1
OAI1DC154Nov05,7,6,1,4,4
OAI4FFEJul16Current,12,11,1,11,11
Nov01FinanceWatcher,2,1,1,2,1
Nov08ConstructionAgent,13,12,1,6,5
OAIResearchFeb14FP,2,1,1,2,1
OAIResearchFeb17,3,2,1,2,1
OAIResearchFeb27X,2,1,1,2,1
OAIResearchJul09,3,2,1,3,2
OAIObserverMay27X,3,2,1,3,2
OAIJul30Evening2028,5,4,1,3,3
OAIJun07Research,2,1,1,2,1
ApiBridgeFinalAgent,2,1,1,2,1
OAIJun30Scout,4,3,1,4,3
OAIJul19Helper,3,2,1,3,2
OAIJul19SectorAgent,2,1,1,2,1
OECDEquityJan21Scout,2,1,1,2,1
ArchiveViewerOct09Y,3,2,1,1,1
ArchiveViewerSep15,3,2,1,3,2
ArchiveScout,7,6,1,7,6
ArchiveScoutJul14,2,1,1,1,1
ArchiveResearchMay17,2,1,1,2,1
ArchiveResearchX,3,2,1,3,2
BridgeCountyAdder77,3,2,1,2,2
