variante,n_kohorten,laenge,anteil_pct
Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe,1,6,0.11
Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Test_Probe -> Uhrenpaar_melden,1,19,0.11
Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Test_Probe -> Sonstiges -> Um_Ergebnis_bitten -> Sonstiges -> Test_Probe -> Technik_weitergeben,1,14,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,6,0.11
Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten,1,3,0.11
Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Vorhersage -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Sonstiges,1,32,0.11
Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden,1,3,0.11
Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Sonstiges,1,4,0.11
Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Test_Probe -> Sonstiges -> Seite_anlegen -> Test_Probe -> Daten_URL_ablegen -> Um_Ergebnis_bitten -> Test_Probe -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Test_Probe -> Daten_URL_ablegen -> Seite_anlegen -> Uhrenpaar_melden -> Vorhersage -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen,1,28,0.11
Uhrenpaar_melden -> Sonstiges -> Um_Ergebnis_bitten,1,3,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Vorhersage -> Sonstiges -> Vorhersage -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,15,0.11
Sonstiges -> Test_Probe,1,2,0.11
Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden,1,6,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Vorhersage -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges,1,21,0.11
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Rundenergebnis_melden,1,4,0.11
Rundenergebnis_melden -> Test_Probe -> Sonstiges -> Test_Probe -> Uhrenpaar_melden,1,5,0.11
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Vorhersage -> Seite_anlegen -> Rundenergebnis_melden,1,10,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten,1,8,0.11
Uhrenpaar_melden -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,6,0.11
Rundenergebnis_melden -> Sonstiges -> Rundenergebnis_melden -> Vorhersage -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Rundenergebnis_melden,1,8,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,8,0.11
Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Vorhersage -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe -> Rundenergebnis_melden,1,10,0.11
Seite_anlegen -> Sonstiges -> Test_Probe -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Um_Ergebnis_bitten -> Technik_weitergeben -> Rundenergebnis_melden -> Sonstiges -> Um_Ergebnis_bitten,1,11,0.11
Seite_anlegen -> Vorhersage -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten,1,8,0.11
Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Rundenergebnis_melden -> Seite_anlegen -> Test_Probe,1,6,0.11
Seite_anlegen -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Technik_weitergeben -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,9,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Vorhersage -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges,1,7,0.11
Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Rundenergebnis_melden -> Uhrenpaar_melden,1,6,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Rundenergebnis_melden -> Uhrenpaar_melden,1,5,0.11
Seite_anlegen -> Uhrenpaar_melden -> Rundenergebnis_melden -> Sonstiges,1,4,0.11
Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Technik_weitergeben -> Uhrenpaar_melden -> Technik_weitergeben -> Uhrenpaar_melden,1,8,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Technik_weitergeben -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,8,0.11
Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden -> Ueberlebenssignal -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges,1,11,0.11
Vorhersage -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden,1,4,0.11
Technik_weitergeben -> Test_Probe -> Sonstiges -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Test_Probe -> Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Rundenergebnis_melden -> Um_Ergebnis_bitten,1,11,0.11
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Vorhersage -> Seite_anlegen -> Technik_weitergeben,1,6,0.11
Seite_anlegen -> Daten_URL_ablegen -> Sonstiges,1,3,0.11
Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Ueberlebenssignal -> Um_Ergebnis_bitten,1,5,0.11
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden,1,5,0.11
Um_Ergebnis_bitten -> Technik_weitergeben,1,2,0.11
Seite_anlegen -> Rundenergebnis_melden -> Vorhersage -> Rundenergebnis_melden,1,4,0.11
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Test_Probe,1,4,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Test_Probe -> Vorhersage -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden -> Abschied -> Um_Ergebnis_bitten -> Sonstiges -> Rundenergebnis_melden,1,14,0.11
Uhrenpaar_melden -> Sonstiges -> Test_Probe -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden,1,8,0.11
Sonstiges -> Uhrenpaar_melden -> Rundenergebnis_melden,1,3,0.11
Sonstiges -> Test_Probe -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden,1,9,0.11
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Uhrenpaar_melden,1,8,0.11
Seite_anlegen -> Technik_weitergeben -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Vorhersage -> Rundenergebnis_melden -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Vorhersage -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Test_Probe,1,14,0.11
Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Vorhersage,1,6,0.11
Um_Ergebnis_bitten -> Rundenergebnis_melden -> Test_Probe -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Rundenergebnis_melden,1,7,0.11
Uhrenpaar_melden -> Rundenergebnis_melden -> Ueberlebenssignal -> Um_Ergebnis_bitten,1,4,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,5,0.11
Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Rundenergebnis_melden -> Seite_anlegen -> Vorhersage -> Test_Probe,1,7,0.11
Sonstiges -> Rundenergebnis_melden -> Ueberlebenssignal -> Sonstiges -> Rundenergebnis_melden -> Ueberlebenssignal -> Rundenergebnis_melden -> Uhrenpaar_melden -> Ueberlebenssignal,1,9,0.11
Um_Ergebnis_bitten -> Rundenergebnis_melden -> Ueberlebenssignal -> Seite_anlegen -> Test_Probe,1,5,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten,1,6,0.11
Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Ueberlebenssignal -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Ueberlebenssignal,1,12,0.11
Rundenergebnis_melden -> Ueberlebenssignal -> Rundenergebnis_melden -> Ueberlebenssignal -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten,1,7,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Vorhersage -> Seite_anlegen -> Daten_URL_ablegen,1,9,0.11
Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden -> Test_Probe -> Rundenergebnis_melden -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Daten_URL_ablegen -> Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten,1,12,0.11
Rundenergebnis_melden -> Sonstiges -> Seite_anlegen -> Rundenergebnis_melden -> Test_Probe -> Sonstiges -> Rundenergebnis_melden,1,7,0.11
Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Rundenergebnis_melden,1,10,0.11
Uhrenpaar_melden -> Test_Probe -> Uhrenpaar_melden -> Rundenergebnis_melden -> Seite_anlegen -> Test_Probe -> Vorhersage,1,7,0.11
Rundenergebnis_melden -> Uhrenpaar_melden -> Vorhersage,1,3,0.11
Rundenergebnis_melden -> Uhrenpaar_melden -> Technik_weitergeben -> Um_Ergebnis_bitten -> Sonstiges -> Seite_anlegen -> Rundenergebnis_melden,1,7,0.11
Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,6,0.11
Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Vorhersage,1,4,0.11
Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Technik_weitergeben,1,10,0.11
Seite_anlegen -> Sonstiges -> Ueberlebenssignal,1,3,0.11
Seite_anlegen -> Vorhersage -> Rundenergebnis_melden -> Seite_anlegen -> Test_Probe,1,5,0.11
Test_Probe -> Vorhersage,1,2,0.11
Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden,1,9,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,5,0.11
Rundenergebnis_melden -> Seite_anlegen -> Test_Probe -> Technik_weitergeben -> Sonstiges,1,5,0.11
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Vorhersage -> Rundenergebnis_melden -> Vorhersage -> Test_Probe -> Rundenergebnis_melden,1,9,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Uhrenpaar_melden -> Vorhersage -> Sonstiges -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Rundenergebnis_melden -> Ueberlebenssignal -> Seite_anlegen -> Vorhersage,1,16,0.11
Um_Ergebnis_bitten -> Test_Probe -> Technik_weitergeben,1,3,0.11
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,6,0.11
Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Vorhersage -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe,1,10,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen,1,13,0.11
Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Vorhersage -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges,1,14,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Sonstiges -> Rundenergebnis_melden -> Sonstiges,1,8,0.11
Vorhersage -> Rundenergebnis_melden -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Seite_anlegen -> Vorhersage -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten,1,16,0.11
Seite_anlegen -> Vorhersage,1,2,0.11
Uhrenpaar_melden -> Sonstiges -> Vorhersage -> Uhrenpaar_melden -> Technik_weitergeben -> Uhrenpaar_melden -> Sonstiges,1,7,0.11
Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Test_Probe -> Rundenergebnis_melden,1,5,0.11
Daten_URL_ablegen -> Uhrenpaar_melden,1,2,0.11
Um_Ergebnis_bitten -> Rundenergebnis_melden -> Technik_weitergeben,1,3,0.11
Test_Probe -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges,1,5,0.11
Rundenergebnis_melden -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Technik_weitergeben -> Vorhersage -> Um_Ergebnis_bitten,1,9,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Test_Probe,1,5,0.11
Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges,1,4,0.11
Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Rundenergebnis_melden,1,4,0.11
Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden,1,5,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Vorhersage,1,4,0.11
Sonstiges -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden,1,7,0.11
Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Vorhersage -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Technik_weitergeben -> Rundenergebnis_melden -> Seite_anlegen -> Uhrenpaar_melden -> Test_Probe -> Seite_anlegen -> Uhrenpaar_melden -> Test_Probe -> Seite_anlegen -> Test_Probe,1,25,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Vorhersage -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden,1,7,0.11
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden,1,6,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten,1,15,0.11
Daten_URL_ablegen -> Seite_anlegen -> Uhrenpaar_melden,1,3,0.11
Seite_anlegen -> Daten_URL_ablegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Rundenergebnis_melden -> Seite_anlegen -> Uhrenpaar_melden,1,8,0.11
Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Test_Probe -> Sonstiges -> Rundenergebnis_melden -> Sonstiges,1,16,0.11
Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Test_Probe -> Seite_anlegen -> Um_Ergebnis_bitten,1,6,0.11
Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden,1,14,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Vorhersage -> Test_Probe -> Uhrenpaar_melden,1,6,0.11
Sonstiges -> Uhrenpaar_melden -> Test_Probe -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Vorhersage -> Test_Probe -> Uhrenpaar_melden,1,8,0.11
Test_Probe -> Sonstiges -> Seite_anlegen -> Sonstiges -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Technik_weitergeben -> Test_Probe -> Daten_URL_ablegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Daten_URL_ablegen,1,22,0.11
Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges -> Test_Probe -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Test_Probe -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Sonstiges -> Um_Ergebnis_bitten -> Sonstiges -> Test_Probe,1,24,0.11
Uhrenpaar_melden -> Test_Probe -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Sonstiges -> Seite_anlegen -> Test_Probe -> Sonstiges -> Test_Probe -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Test_Probe,1,15,0.11
Seite_anlegen -> Daten_URL_ablegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Seite_anlegen -> Vorhersage -> Seite_anlegen -> Test_Probe -> Sonstiges -> Uhrenpaar_melden -> Vorhersage -> Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden,1,34,0.11
Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Vorhersage -> Um_Ergebnis_bitten -> Technik_weitergeben -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Vorhersage -> Seite_anlegen -> Rundenergebnis_melden -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,18,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Um_Ergebnis_bitten -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten,1,10,0.11
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Rundenergebnis_melden,1,6,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten,1,4,0.11
Seite_anlegen -> Uhrenpaar_melden -> Daten_URL_ablegen -> Uhrenpaar_melden -> Rundenergebnis_melden -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Daten_URL_ablegen -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Test_Probe -> Vorhersage -> Rundenergebnis_melden -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Sonstiges,1,23,0.11
Test_Probe -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Vorhersage,1,5,0.11
Seite_anlegen -> Sonstiges -> Test_Probe -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Seite_anlegen -> Technik_weitergeben -> Sonstiges -> Test_Probe -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Technik_weitergeben -> Uhrenpaar_melden -> Sonstiges,1,15,0.11
Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden,1,10,0.11
Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Vorhersage -> Technik_weitergeben -> Rundenergebnis_melden -> Uhrenpaar_melden -> Technik_weitergeben -> Uhrenpaar_melden -> Vorhersage -> Seite_anlegen -> Technik_weitergeben -> Uhrenpaar_melden -> Ueberlebenssignal -> Uhrenpaar_melden,1,22,0.11
Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden,1,4,0.11
Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges,1,13,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Sonstiges -> Daten_URL_ablegen -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Rundenergebnis_melden -> Daten_URL_ablegen -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden -> Technik_weitergeben -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Seite_anlegen -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Rundenergebnis_melden -> Test_Probe,1,41,0.11
Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Technik_weitergeben,1,5,0.11
Daten_URL_ablegen -> Sonstiges -> Um_Ergebnis_bitten -> Technik_weitergeben -> Seite_anlegen -> Daten_URL_ablegen -> Test_Probe -> Seite_anlegen -> Daten_URL_ablegen -> Test_Probe,1,10,0.11
Vorhersage -> Um_Ergebnis_bitten -> Test_Probe -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Vorhersage -> Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Uhrenpaar_melden -> Sonstiges -> Um_Ergebnis_bitten -> Technik_weitergeben -> Uhrenpaar_melden -> Technik_weitergeben -> Sonstiges -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Rundenergebnis_melden -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Rundenergebnis_melden -> Test_Probe -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Vorhersage -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Vorhersage -> Seite_anlegen -> Vorhersage -> Seite_anlegen -> Rundenergebnis_melden,1,44,0.11
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Vorhersage -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Rundenergebnis_melden,1,10,0.11
