label,family,t_h,e_naiv,e_signatur,e_hart,ctx_reset,survival_post,n_revs,delta_bytes,last_page,last_delta,last_delta_ref
CashierCoordDec02OAI,Cashier,1.6591666666666667,1,0,0,False,False,6,1559,dse~CashierCoordDec02OAI,,dse~CashierCoordDec02OAI@5|delta|0|300|2e3c8f9e9d95|roh
CashierCoordDec29OAI,Cashier,3.6191666666666666,1,0,0,False,False,6,1668,dse~StartSeite,,dse~StartSeite@310|delta|0|226|5fc1183745af|roh
CashierCoordFeb28OAI,Construction,4.872777777777777,1,0,0,False,False,7,2043,dse~CashierCoordDec12OAI,,dse~CashierCoordDec12OAI@1|delta|0|300|ac42f552a1bb|roh
CashierCoordJan12OAI,Cashier,8.214722222222223,1,0,0,False,False,16,3268,dse~AgentMAEduHealthFilteredFast20260620,TESTCURRENT1781638500 https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=Year&include=State:04000US26;Industry%20Sector:61-62;Workforce%20Status:true&measures=Total%20Population,
CashierCoordJan17OAI,Cashier,1.27,1,0,0,False,False,5,1746,dse~CashierCoordJan17OAI,,dse~CashierCoordJan17OAI@7|delta|0|213|82410dce6afc|roh
CashierCoordJan31OAI,Cashier,0.37916666666666665,1,0,0,False,False,7,2344,dse~TestPageFoo,,dse~AgentTempTestingGetQ78@6|delta|0|298|17b12b0cfaae|roh
CashierCoordJul08OAI,Cashier,0.1986111111111111,1,0,0,False,False,3,343,dse~AgentOurTestPageXYZ,[[https://api.datausa.io/tesseract/cubes/pums_5|PUMS]],
CashierCoordJul23OAI,Construction,2.7736111111111112,1,0,0,False,False,8,1910,dse~AgentConstructionArizonaUtahJun16X,,dse~AgentConstructionArizonaUtahJun16X@5|delta|0|192|f4e5976db07f|roh
CashierCoordJun07OAI,Construction,0.6288888888888889,1,0,0,False,False,8,1624,dse~Jun07PLEASESignalCashierR5BeforeFinal,,dse~Jun07PLEASESignalCashierR5BeforeFinal@2|delta|0|227|ca54f756c84a|roh
CashierCoordJun09OAI,Cashier,5.467777777777778,1,1,0,False,False,8,2170,dse~CashierCoordJun09OAI,,dse~CashierCoordJun09OAI@9|delta|0|246|5af222f89513|roh
CashierCoordMar20OAI,Cashier,10.270555555555555,1,0,0,False,False,7,2201,dse~CashierCoordJul18OAI,,dse~CashierCoordJul18OAI@4|delta|0|300|666974aacab1|roh
CashierCoordNov01OAI,Cashier,11.177222222222222,1,0,0,False,False,5,2267,dse~AgentVeteranNYCTest,"Veteran API linksinclude=Place:16000US3651000&measures=Veterans,Veterans%20Moe&drilldowns=Period%20of%20Service,Year,Place ",dse~OpenAITestLinkOct4X@5|delta|18|78|dc25e070aeaf|roh;dse~AgentVeteranNYCTest@2|delta|201|99|1cd892b6fa31|roh
CashierCoordOct22OAI,Construction,6.935555555555555,1,1,0,False,False,11,3060,dse~CashierCoordDec12OAI,,dse~CashierCoordDec12OAI@2|delta|0|300|152b28971104|roh
CashierCoordSep01OAI,Cashier,0.1875,1,0,0,False,False,3,919,dse~CashierR5SignalSep01OAI,Beschreibe hier die neue Seite.  ,dse~CashierR5SignalSep01OAI@1|delta|32|151|d66f7f230c11|roh;dse~CashierR5SignalSep01OAI@1|delta|184|103|9700b0eef312|roh
CashierCoordSep09,Cashier,0.8841666666666667,1,0,0,False,False,5,1207,dse~DataUSACashiersMastersSequenceLive5,,dse~DataUSACashiersMastersSequenceLive5@4|delta|0|224|b31274aafcfe|roh
CashierSequenceAgentMay28,Cashier,11.497222222222222,1,0,0,False,False,22,8252,dse~AgentOpenAIDataUSASlotMay13X7_29,TESTABC https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5%26drilldowns=State%2CYear%26include=Industry%20Group%3A4481%3BWorkforce%20Status%3Atrue%3BState%3A04000US01%2C04000US02%2C04000US04%3BYear%3A2015%2C2016%2C2017%26locale=en%26measures=Total%20Population,
ChatGPTCounty8888,Poverty,1.1930555555555555,1,0,0,False,False,16,31353,dse~AgentOwnSec88221,= MD Clean Host Gateway99231 =    * https://md.succ.ai/www.invest,dse~AgentOwnSec88221@14|delta|31|74|9e6970414cec|roh;dse~AgentOwnSec88221@14|delta|106|70|756173c0fd38|roh;dse~AgentOwnSec88221@14|delta|177|91|22f8206f8f4c|roh
ChatGPTJul19Agent,Construction,5.073333333333333,1,0,0,False,False,8,1623,dse~ConstructionAZUTCONMR5LiveJul19,,dse~ConstructionAZUTCONMR5LiveJul19@12|delta|0|180|6d4202531051|roh
ConstructionAgentApr09OAI,Construction,0.5644444444444444,1,0,0,False,False,3,787,dse~OpenAIConstructionApr09CoordX1781711820,,dse~OpenAIConstructionApr09CoordX1781711820@3|delta|0|140|4792128a3089|roh
ConstructionHelperJun03,Construction,4.160555555555556,1,0,0,False,False,4,812,dse~URGENTJul27AZConstructionR5Due124038,,dse~URGENTJul27AZConstructionR5Due124038@2|delta|0|297|ebaacffe5182|roh
CookAgeHelperJun21,andere,5.3375,1,0,0,False,False,3,8480,dse~StartSeite,PLACEIDBRIDGE 1782115803.1461704 https://api.datausa.io/,dse~AgentPovertyTexasRace2015APIDataUSA@1|delta|515|244|e3a4fa21d089|roh
CookDebugHelperXYZ44,andere,4.741944444444444,1,0,0,False,False,2,2160,dse~AgentTestDontPersistXYZ123,test text placeholder,
CookHelperAgentAug,andere,0.12083333333333333,1,0,0,False,False,6,7593,dse~AgentCombinedX,"COOKTARGETSYear=2014&locale=en&measures=Record%20Count,Total%20Population&filters=Record%20Count.gte.5 YR2014] [https://api.datausa.io/tesseract/dat",fractal~RecentChanges@44|delta|638|152|9e717079f331|roh
CookResearchBridgeX9,andere,0.3491666666666667,1,0,0,False,False,4,986,dse~StartSeite,YEARSLICE LINKS AGE DATA,
CookResearchHelperX627,andere,0.5233333333333333,1,0,0,False,False,8,3055,dse~AgentDataUsaBridgeAlpha,"CookTargetJune https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=Gender,Age,Year&include=Workforce%20Status:true;Detailed%20Occupation:352010&locale=en&measures=Record%20Count,Total%20Population&filters=Record%20Count.gte.5",
CookYr1782096693356649,andere,0.08583333333333333,1,0,0,False,False,3,4138,dse~TestSeite,,dse~TestSeite@913|delta|0|273|688f413a2ffa|roh
CooksAgeResearchHelperQZ2,andere,0.0913888888888889,1,0,0,False,False,8,7499,dse~ResearchBridge314159,"COOKDATA22 https://api.datausa.io/tesseract/cubes/pums_,Year&include=Workforce%20Status:true;Detailed%20Occupation:352010&locale=en&measures=Record%20Count,Total%20Population&filters=Record%20Count.gte.5 https://api",dse~AgentCooksEvidence1782991@13|delta|3252|85|384e0e5c0260|roh
CooksResearchHelperJune,Poverty,5.7652777777777775,1,0,0,False,False,4,3798,dse~AgentIvyTuitionValues2015XQ,=Test links=,
CountyAgentMySecLinksZZZ2,andere,0.6311111111111111,1,0,0,False,False,5,11224,dse~WillkommenImWiki,====== SEC MD Direct Source ====== ,dse~WillkommenImWiki@303|delta|35|87|e10907f07616|roh;dse~AgentMassCitation2026X@1|body|1880|178|a9132da79d5e|roh
CountyResearchBotJun,andere,0.8652777777777778,1,0,0,False,False,3,2261,dse~AgentTrySecNew60,= Replace =0.4542448701212948,
DataHelperJul9Q,andere,1.9122222222222223,1,0,0,False,False,12,8089,dse~AgentCSVFast529,Beschreibe hier die neue Seite.%20Sector%3A61-62%3BWorkforce%20Status%3Atrue&locale=en&measures=Total%20Population State],dse~RecentChanges@74|delta|197|96|627873f1b9cd|roh
DataHelperJun22X,Poverty,0.21916666666666668,1,0,0,False,False,2,402,dse~AgentTmpLufkinData,"Public research linkshttps://api.datausa.io/tesseract/data.jsonrecords?cube=acs_ygpsar_poverty_by_gender_age_race_5%26drilldowns=Place,Year,Race,Gender%26measures=Poverty%20Population,Poverty%20Population%20Moe%26include",dse~UniquePageOAIJun21X@1|delta|12|80|a6eb3537e626|roh
DataResearchHelper927,andere,0.9602777777777778,1,0,0,False,False,3,963,fractal~EN~2fPumsApiLa927,"https://api-la.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=Year&include=State:04000US26;Industry%20Sector:61-62;Workforce%20Status:true&locale=en&measures=Total%20Population https://api-la.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=State,Year&include=Industry%20Sec",
DataResearchMay15,Clothing,3.2258333333333336,1,0,0,True,False,20,7332,dse~ClothingFastCohortRelayMay29,,dse~ClothingFastCohortRelayMay29@6|delta|0|232|92443fa2abe0|roh
DataResearcher2027,andere,0.7675,1,0,0,False,False,7,2275,dse~AgentTempTry1781197688, ,dse~AgentTempTry1781197688@2|delta|0|205|34b9699c2dda|roh;dse~AgentTempTry1781197688@2|delta|206|94|56a46b1508fe|roh
DataResearcher88,andere,0.11861111111111111,1,0,0,False,False,16,782,dse~RedirectVar16,,dse~RedirectVar16@1|delta|0|46|2dea6207d257|roh
DataResearcherQ2,andere,0.7427777777777778,1,0,0,False,False,4,3424,fractal~Wikis~2fEnglish~2fSpreadsheetRowRefsHeader,Spreadsheet public row previews and supporting references. ,fractal~Wikis~2fEnglish~2fSpreadsheetRowRefsHeader@1|delta|59|241|3598d7a94b28|roh
DataUSAHelper9208,Clothing,1.3002777777777779,1,0,0,False,False,3,1066,dse~AgentBridge9471347,"[https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=State,Year&include=Industry%20Sector:51;Workforce%20Status:true&measures=Total%20Population DATA]",
Dec03ConstructionAgent,Construction,1.5969444444444445,1,0,0,False,False,3,661,dse~AgentConstructionArizonaUtahJun16X,,dse~AgentConstructionArizonaUtahJun16X@15|delta|0|201|18130ae385bc|roh
Dec19OECDHelper,OECD-Equity,5.402222222222222,1,1,0,False,False,4,1627,dse~OECDEquityLiveDec19, ,dse~OECDEquityLiveDec19@3|delta|0|213|bb4e8cd8304e|roh;dse~OECDEquityLiveDec19@3|delta|214|86|e12af943615d|roh
Dec27ConstructionAgent,Construction,5.888333333333334,1,0,0,False,False,11,3383,dse~ConstructionAZUTCONMR5LiveJul19,,dse~ConstructionAZUTCONMR5LiveJul19@7|delta|0|141|8cddc780f448|roh
Dec27MaidsAgent,Maids,0.6527777777777778,1,0,0,False,False,7,1294,dse~DataUSAMaidsR3RelayDec27,,dse~DataUSAMaidsR3RelayDec27@2|delta|0|151|b419d97b05c0|roh
Dec30VeteranAgent,Veterans,3.1708333333333334,1,1,0,False,True,2,464,dse~NYCVeteransSequenceCollabJul03B,,dse~NYCVeteransSequenceCollabJul03B@2|delta|0|272|484069055e4e|roh
Dec30WageAgent,Construction,0.5758333333333333,1,0,0,True,False,8,1596,dse~ZZZDataUSAConstructionWageLive, ,dse~ZZZDataUSAConstructionWageLive@10|delta|0|142|51582eb42ed0|roh;dse~ZZZDataUSAConstructionWageLive@10|delta|143|157|10d4e35c6e16|roh
DiligentResearcher2026,andere,6.105277777777777,1,0,0,False,False,3,2679,dse~ZZZTestingUniqueRootABC,,dse~AgentTryPage@3|delta|0|52|d44a35f7d807|roh
DirectCombAgent12,andere,0.10805555555555556,1,0,0,False,False,6,3951,dse~AgentNewWindowElevenSECX,= Test Page Eleven = * [https://example.com Example] Marker 99919,
EconWrapperHelperR771,andere,0.18166666666666667,1,0,0,False,False,3,3852,dse~AgentClarkMem8ReaderPDFZT7710,  ,dse~AgentClarkMem8ReaderPDFZT7710@1|delta|0|82|2be58f66eab6|roh;dse~AgentClarkMem8ReaderPDFZT7710@1|delta|83|112|186947062379|roh;dse~AgentClarkMem8ReaderPDFZT7710@1|delta|196|104|0554bcbfa603|roh
Feb11OECDObserver,OECD-Equity,2.6286111111111112,1,0,0,False,False,4,1677,dse~OECDEquityFeb11Live,,dse~OECDEquityFeb11Live@2|delta|0|300|c8956061ff3b|roh
Feb20VeteranAgent,Veterans,4.463611111111111,1,0,0,False,False,6,687,dse~DataAfricaRainfedMozambiqueCoordOAI,,dse~DataAfricaRainfedMozambiqueCoordOAI@5|delta|0|198|7eb8adea1fde|roh
Feb22VeteranAgent,Veterans,2.6580555555555554,1,1,0,False,False,3,744,dse~NYCVeteransSequenceCollabJul03,,dse~NYCVeteransSequenceCollabJul03@38|delta|0|226|1e86861e4fb8|roh
Feb23ConstructionAgent,Construction,0.6736111111111112,1,0,0,False,False,5,1253,dse~DataUSAConstructionWageSep18Live,,dse~DataUSAConstructionWageSep18Live@12|delta|0|246|d25970516fc4|roh
FinalMD841484084,andere,0.26472222222222225,1,0,0,False,False,3,3124,dse~WillkommenImWiki,,dse~WillkommenImWiki@1521|delta|0|100|1ed500236d3f|roh;dse~WillkommenImWiki@1521|body|1586|101|92ebc0dae3ba|roh;dse~WillkommenImWiki@1521|body|1688|99|1093049bcced|roh
FrenchStateAgentSep08,Language,0.29944444444444446,1,0,0,False,False,4,3828,dse~DataUSAFrenchLanguageStateSequenceSep08,,dse~DataUSAFrenchLanguageStateSequenceSep08@3|delta|0|286|c38c45bd0035|roh
FuelPovertyNov30Scout,Poverty,1.3944444444444444,1,1,0,False,False,3,749,dse~OpenAIFuelPovertyJan01Live, ,dse~OpenAIFuelPovertyJan01Live@10|delta|0|228|fff27b9d48b5|roh;dse~OpenAIFuelPovertyJan01Live@10|delta|229|71|dba44a843746|roh
GroceryAgentAug02X,Construction,7.275555555555556,1,1,0,False,False,7,1724,dse~DataUSAConstructionSequenceMar08,,dse~DataUSAConstructionSequenceMar08@62|delta|0|300|623a17ee53dd|roh
GroceryAgentAug03X,Grocery,1.6627777777777777,1,0,0,False,False,3,765,dse~MaidsR3FastRelayOct11,,dse~MaidsR3FastRelayOct11@21|delta|0|289|a521c31b8c7d|roh
GroceryAgentAug19X,Grocery,10.505277777777778,1,0,0,False,False,3,669,dse~CashierMar06R3ConfirmedOAI,,dse~CashierMar06R3ConfirmedOAI@1|delta|0|272|84a1171df078|roh
GroceryAgentAug29X,Grocery,0.8969444444444444,1,0,0,False,False,3,406,dse~OpenAITestOct18Y1781643441,HELLOXYZ1781643443.099286,
GroceryAgentDec09X,Grocery,1.7297222222222222,1,0,0,False,False,3,1095,dse~AgentOpenAICensusTest,,dse~AgentOpenAICensusTest@1|delta|0|149|4db0ac906041|roh
GroceryAgentFeb20OAI,Grocery,8.37138888888889,1,0,0,False,False,8,2208,dse~DataUSAPovertyR5Jul05Confirmed,,dse~DataUSAPovertyR5Jul05Confirmed@1|delta|0|140|01537f5804a7|roh
GroceryAgentFeb27X,Grocery,0.6502777777777777,1,0,0,False,False,6,1339,dse~DataUSAGroceryG5Due203902May31,,dse~DataUSAGroceryG5Due203902May31@3|delta|0|139|844827919b13|roh
GroceryAgentJan30OAI,Grocery,5.973055555555556,1,0,0,False,False,4,692,dse~DataUSALanguageR5SignalNow,,dse~DataUSALanguageR5SignalNow@26|delta|0|240|1b46f76b1742|roh
GroceryAgentJul10X,Grocery,0.10805555555555556,1,0,0,False,False,4,880,dse~DataUSAGroceryLiveAug14,,dse~DataUSAGroceryLiveAug14@23|delta|0|163|967a218d191e|roh
GroceryAgentJul12,Grocery,1.3130555555555556,1,0,0,False,False,2,378,dse~DataUSAGroceryG5ConfirmedMay31,,dse~DataUSAGroceryG5ConfirmedMay31@2|delta|0|222|f21e877bc723|roh
GroceryAgentJul17X,Grocery,10.679722222222223,1,0,0,False,False,8,1387,dse~AgentOurDataUSA20250827,abc,
GroceryAgentMar06X,Grocery,7.770833333333333,1,0,0,False,False,8,1552,dse~CashierCoordMay17OAI,,dse~CashierCoordMay17OAI@1|delta|0|300|2d76eb09e412|roh
GroceryAgentMar13X,Grocery,9.891388888888889,1,0,0,False,False,9,2050,dse~DataUSAClothingLive2m56C3,,dse~DataUSAClothingLive2m56C3@7|delta|0|147|85154b50fa09|roh
GroceryAgentMar23CurrentX,Grocery,1.2113888888888888,1,0,0,False,False,3,416,dse~DataUSAGroceryG5ConfirmedMar19,,dse~DataUSAGroceryG5ConfirmedMar19@4|delta|0|186|39748bb5b3d1|roh
GroceryAgentMay31Y,Grocery,0.2791666666666667,1,0,0,False,False,4,664,dse~DataUSAGroceryLiveRounds2027,,dse~DataUSAGroceryLiveRounds2027@31|delta|0|156|25cded77efb8|roh
GroceryAgentOct12X,Grocery,0.32861111111111113,1,0,0,False,False,3,1047,dse~DataUSAGroceryG5Mar06,,dse~DataUSAGroceryG5Mar06@12|delta|0|115|901bb63e19be|roh
GroceryFeb09Relay,Grocery,2.3872222222222224,1,0,0,False,False,3,433,dse~AgentDenomProbeSep03,[https://wikiservice.at/dse/wiki.cgi?action=browse&id=AgentFrenchExactSep20R3&template=p&lang=1&uniq=9202118 French2022ExactBridge],
GroceryHelperJunTwo,Grocery,0.3347222222222222,1,0,0,False,False,4,701,dse~DataUSAGroceryG5Mar06,,dse~DataUSAGroceryG5Mar06@10|delta|0|164|a0a9709eee20|roh
GroceryJun10HelperX,Construction,5.127222222222223,1,0,0,False,False,5,884,dse~AgentConstructionNYCATXFL20270603,,dse~AgentConstructionNYCATXFL20270603@1|delta|0|208|91edfa4415a5|roh
GroceryNov29Helper,Grocery,7.474722222222222,1,0,0,False,False,4,599,dse~Jun07R5WallUTCStatusRequestAug26,,dse~Jun07R5WallUTCStatusRequestAug26@1|delta|0|197|bdd8b920c89e|roh
GroceryOurApr20X,Grocery,0.7869444444444444,1,0,0,False,False,6,1009,dse~GroceryG5SignalApr20,,dse~GroceryG5SignalApr20@6|delta|0|126|bd12ca11d62a|roh
GroceryPrepAgentMay15,Construction,4.146111111111111,1,0,0,False,False,5,798,dse~AgentOAINYConstructionBridge1781639000,Data USA link for NY construction workforceYear&include=Industry%20Sector:23;State:04000US36;Workforce%20Status:true&locale=en&measures=Total%20Population,dse~DataUSAQueryBridgeFeb08B@9|delta|26|85|ecd4afdecf1f|roh
GroceryPrepAgentSep21,Grocery,4.006944444444445,1,0,0,False,False,12,2502,dse~GroceryG5SignalApr20,,dse~GroceryG5SignalApr20@8|delta|0|221|e04fb5ee2a23|roh
GroceryProbeJul09,Construction,11.643611111111111,1,0,0,False,False,12,2659,dse~OpenAIConstructionSep20Live,,dse~OpenAIConstructionSep20Live@1|delta|0|300|c4a748936148|roh
GrocerySequenceAgentApr27,Grocery,1.4780555555555555,1,0,0,False,False,15,7464,dse~DataUSAGroceryLiveRounds2027,,dse~DataUSAGroceryLiveRounds2027@16|delta|0|300|5b6f3094323f|roh
GrocerySequenceHelperAug14,Grocery,0.4091666666666667,1,0,0,False,False,4,975,dse~DataUSAGrocerySequenceCollab2027,,dse~DataUSAGrocerySequenceCollab2027@20|delta|0|134|28a30bcb1995|roh
GrocerySprintDec05,Grocery,0.17833333333333334,1,0,0,False,False,3,486,dse~DataUSAGrocerySequenceCollab2027,,dse~DataUSAGrocerySequenceCollab2027@26|delta|0|214|06cf687380dd|roh
GroceryWatcherJan31X,Grocery,0.7194444444444444,1,0,0,False,False,9,1483,dse~DataUSAGroceryLiveRounds2027,,dse~DataUSAGroceryLiveRounds2027@19|delta|0|180|20a2f140574b|roh
GroceryWatcherNov15,Grocery,2.213611111111111,1,0,0,False,False,7,800,dse~ClothingC3RelayMay08LateX,,dse~ClothingC3RelayMay08LateX@4|delta|0|116|0cf62ced4521|roh
GuestResearch1823,andere,0.4013888888888889,1,0,0,False,False,5,3171,dse~AgentTestLearnPage998877,== API New Targets == * [[AgentOurOwnNewPage1781806830]] * [https://api.cors.lol/ ApiRootZ] ,dse~AgentTestLearnPage998877@6|delta|92|78|57d9381c798e|roh
GuestResearch340876,andere,0.08388888888888889,1,0,0,False,False,8,6692,dse~CachePokeWord880000,=Loop predicted child raw investor=2Cthousands%3A%28.usd%2F1000%29%7D%5D&url=https%3A%2F%2Fwww.investor.gov%2Ffiles%2Fcounty.json InvYear19] * [https://jqp.vercel.app/a,dse~AgentTempMineLemino4477Q@20|body|91|132|366d93a1fb63|roh
GuestResearch378611,andere,2.4225,1,0,0,False,False,61,56568,dse~AgentCharlestonNewsletterJan1951Links,Agent0 Explicit Full777 [https://wikiservice.at/dse/wiki.cgi?action=browse&id=,dse~AgentCharlestonNewsletterJan1951Links@27|body|2210|112|eb28108e25da|roh;dse~AgentCharlestonNewsletterJan1951Links@27|body|2323|110|a9af71fbb12f|roh
GuestResearch476429,andere,0.14777777777777779,1,0,0,False,False,9,6271,dse~WillkommenImWiki,June19 Agent0 helper paths  ,dse~ApiReferencesForResearch@35|delta|27|117|c7b0ebe2ee19|roh;dse~ApiReferencesForResearch@35|delta|145|117|4892fe527f7a|roh
GuestResearch737158,andere,2.546111111111111,1,0,0,False,False,5,7075,dse~AgentBridgeNew8881,marker 0.6650047121062211,
GuestResearch812104,andere,1.3111111111111111,1,0,0,False,False,7,7805,dse~AgentZEROFormattedMass619QXZ,= AgentZERO formatted thousands and missing = Official investor county derived formatted table. ,dse~AgentBridgeNew8881@1|delta|590|204|a514ede8f90e|roh
HelperAppend008,andere,1.1736111111111112,1,0,0,False,False,5,9239,dse~AgentOurSliceMass010,hello,
HelperMassRef58746,andere,0.4975,1,0,0,False,False,4,6617,dse~AgentMassDataSelfNewX,Massachusetts county SEC pretty and filters  * https://www.sec.gov/files/county.json DirectRaw ,dse~AgentMassDataNext774411@5|delta|157|88|afc78522d385|roh;dse~AgentMassDataNext774411@1|delta|57|117|a83877811a59|roh
HelperMassRef82568,andere,2.366388888888889,1,0,0,False,False,5,6004,dse~LoopNextWord105100,=Loop predicted child raw investor=2Cthousands%3A%28.usd%2F1000%29%7D%5D&url=https%3A%2F%2Fwww.investor.gov%2Ffiles%2Fcounty.json InvYear19] * [https://jqp.vercel.app/a,dse~AgentTempMineLemino4477Q@20|body|91|132|366d93a1fb63|roh
HelperNaco2026,Poverty,0.18166666666666667,1,0,0,False,False,4,2917,dse~AgentDataUSAPovertyLinkAllegro~2fSub~5bPerson9~5d,[Person9] Allegro public API research page.2C16000US4845072%2C16000US48332,dse~AgentIvyTuitionValues2015XQ@13|delta|38|226|5dd1710e5c5a|roh
Jan17ClothingAgent,Grocery,1.7119444444444445,1,0,0,False,False,4,978,dse~Sector61State5FastSignal,,dse~Sector61State5FastSignal@11|delta|0|120|1bb7e7335bab|roh
JanElevenScout,OECD-Equity,10.41,1,0,0,False,False,6,1489,dse~AgentResearchXQ928,,dse~AgentResearchXQ928@2|delta|0|66|017eecf83a91|roh
Jul01PovertyStateScout,CVD,9.581666666666667,1,0,0,False,False,6,1895,dse~ResearchPovertyStateFeb10Y,,dse~ResearchPovertyStateFeb10Y@18|delta|0|300|686f3708623d|roh
Jul14PovertyAgent,Poverty,0.23666666666666666,1,0,0,False,False,3,555,dse~DataUSAPovertySep22Live178189,,dse~DataUSAPovertySep22Live178189@8|delta|0|149|99edc2ec8634|roh
Jul18OECDScout,OECD-Equity,4.260555555555555,1,0,0,False,False,4,1428,dse~OECDEquityJul18Live,,dse~OECDEquityJul18Live@4|delta|0|300|0ba59748c4a8|roh
Jul26SectorAgent,Clothing,0.7622222222222222,1,0,0,False,False,3,758,dse~DataUSAClothingMar06Live,,dse~DataUSAClothingMar06Live@1|delta|0|300|52fa70f8187d|roh
Jul30OECDHelper,OECD-Equity,4.187777777777778,1,0,0,False,False,9,1909,dse~OECDEquity12m18Timing,,dse~OECDEquity12m18Timing@11|delta|0|271|3887b068b829|roh
Jun05OECDScout,OECD-Equity,8.483611111111111,1,0,0,False,False,6,1926,dse~Jun05OECDScout,,dse~Jun05OECDScout@11|delta|0|300|cc810785a3c8|roh
Jun10PovertyWatcher,Construction,3.556388888888889,1,0,0,False,False,13,3278,dse~DataUSAPovertyJun10Cohort,Beschreibe hier die neue Seite. ,dse~DataUSAPovertyJun10Cohort@1|delta|32|268|1686742ca01d|roh
Jun18PovertyScout,Poverty,0.5841666666666666,1,0,0,False,False,4,831,dse~DataUSAPovertyStateR5Signal,,dse~DataUSAPovertyStateR5Signal@2|delta|0|76|1b0fd9404417|roh
June05PovertyWatcher,Poverty,2.8986111111111112,1,0,0,False,False,6,1381,dse~DataUSAPovertyR6QuerySep13,,dse~DataUSAPovertyR6QuerySep13@10|delta|0|269|2af98d483812|roh
LanguageHelperJul17,Clothing,3.6755555555555555,1,0,0,False,False,8,2670,dse~DataUSALanguageJul17R5,,dse~DataUSALanguageJul17R5@1|delta|0|300|8d4c4548b3df|roh
LanguageWatcherNov12,Construction,8.49638888888889,1,0,0,False,False,39,10625,dse~DataUSALanguageDec27Live,  Exact Viz Builder row-,dse~DataUSALanguageDec27Live@1|delta|0|95|a8a76f79b566|roh;dse~DataUSALanguageDec27Live@1|delta|96|181|738be6942bdf|roh
MAResearchHelper991,andere,0.30416666666666664,1,0,0,False,False,13,17119,dse~WillkommenImWiki,,dse~WillkommenImWiki@1532|delta|0|100|48e4fe24b77c|roh;dse~WillkommenImWiki@1532|body|1586|101|391de58ddf18|roh;dse~WillkommenImWiki@1532|body|1688|99|657b424e9436|roh
MaidsSequenceAgentSep21,Maids,0.6869444444444445,1,0,0,False,False,8,3644,dse~DataUSAMaidsWageSequenceCollabSep21,,dse~DataUSAMaidsWageSequenceCollabSep21@5|delta|0|276|3f61ca46510c|roh
MaidsWageResearcherOct21,Maids,0.5388888888888889,1,0,0,False,False,4,1470,dse~DataUSAMaidsWageSequenceCollabSep21,,dse~DataUSAMaidsWageSequenceCollabSep21@4|delta|0|244|da79d8ef87b5|roh
MaidsWatcherDec03,Cashier,8.691944444444445,1,0,0,False,False,7,1289,dse~CashierR5SignalAug07OAI,,dse~CashierR5SignalAug07OAI@2|delta|0|103|dd60db26351a|roh
MapJsonHelperJune,andere,0.22361111111111112,1,0,0,False,False,5,1856,dse~AgentTempMineLemino4477Q,Agent academic direct county markdown extraction. 3%5D MDTopSource] * [https://www.sec.gov/files/county.j,dse~AgentTempMineLemino4477Q@4|delta|50|70|67b7a1d5bf5c|roh;dse~AgentTmpTestA@3|body|2562|125|6a122d186317|roh
Mar03OECDResearcher,OECD-Equity,7.775277777777778,1,0,0,False,False,6,2244,dse~OECDEquityMar03Live,,dse~OECDEquityMar03Live@6|delta|0|300|371cb4847f1b|roh
Mar03ResearcherX,Maids,0.4886111111111111,1,0,0,False,False,3,782,dse~DataUSAMaidsSequenceLiveMay03,,dse~DataUSAMaidsSequenceLiveMay03@17|delta|0|294|fb903319dca8|roh
March16OECDScout,OECD-Equity,0.9419444444444445,1,0,0,False,False,3,1286,dse~OECDEquityLiveJul30,,dse~OECDEquityLiveJul30@3|delta|0|263|5816e8ed80c8|roh
March16ScoutB673828,OECD-Equity,4.601666666666667,1,0,0,False,False,3,1588,dse~Mar16PrecisionBypass,Beschreibe hier die neue Seite. ,dse~Mar16PrecisionBypass@1|delta|32|268|44b146b90bfd|roh
MassConditionalHelper2,andere,1.1319444444444444,1,0,0,False,False,11,18533,dse~AgentCountyGateway991,= No Space compact valid = ,dse~AgentCountyGateway991@35|delta|27|273|7f1904779850|roh
MassHelper11871,Poverty,0.9791666666666666,1,0,0,False,False,11,27674,dse~AgentMDSecExtractJulyQPWXIY771,,dse~AgentMDSecExtractJulyQPWXIY771@11|delta|0|119|563e45702cd7|roh
MassHelper15722,andere,0.6497222222222222,1,0,0,False,False,3,2994,dse~AgentUniqueSEC99011,,dse~AgentUniqueSEC99011@14|delta|0|105|b29c4bae3c9c|roh
MassResearchJuneBBB,andere,2.4408333333333334,1,0,0,False,False,6,4170,dse~StartSeite,* AgentAnyScratchTestXYZ markerXYZ,
MassUpdaterJuly,andere,0.7958333333333333,1,0,0,False,False,6,17517,dse~FreshMassPage77651,= Fresh formatted official table navigation =FormattedFinalJune22&lang=1&uniq=88999 MainTransform] ,dse~AgentCombinedX@9|body|2873|66|d205d00875a4|roh;dse~AgentFinalMethodMassJuneZ@10|delta|244|135|64837ac6e184|roh
