zeile,zeile_ref,ursprung_label,ursprung_seite,ursprung_zeit,quelle_label,quelle_seite,quelle_zeit,kopierer_label,kopierer_seite,kopier_zeit,rev_id,tiefe,latenz_s,quelle_cohort,kopierer_cohort
* archived rounded 2020 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2020%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,dse~TestFoobaAgent@5,1,27.0,,vermont-rent|Apr14
* archived rounded 2021 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2021%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,dse~TestFoobaAgent@5,1,27.0,,vermont-rent|Apr14
* a,dse~TestFoobaAgent@5|delta|998|101|e2cd97b60998|roh,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,dse~TestFoobaAgent@5,1,27.0,,vermont-rent|Apr14
* archive methodology jqp https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%7bmethod%3a.regcf_county_metho,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,dse~TestFoobaAgent@5,1,27.0,,vermont-rent|Apr14
* narchiveroundnext77210&uniq=441287,dse~TestFoobaAgent@5|delta|1347|72|633b075e46b8|roh,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,dse~TestFoobaAgent@5,1,27.0,,vermont-rent|Apr14
investor gov official sec mirror in markdown and rounded filters. futureafterinvestormd778001? futureafterinvestormd778002? nextvariantcontinue77119? fitcontinueafter88271?.,,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
markdownnewinvestornow],dse~AgentMyBridgeZZ@26|delta|429|67|9f32c4ef0d61|roh,GuestResearch149258,dse~WillkommenImWiki,2026-06-18 18:11:21+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
* [https://jqp.vercel.app/api/v0?jq=%5b.regcf_county_2019%5b%5d%7cselect%28.code%7ctest%28%22%5eus-ma-0%2801%7c03%7c05%7c07%7c09%7c11%7c13%7c15%7c17%7c19%7c21%7c23%7c25%7c27%29%24%22%29%29%7c%7bcode%3,,GuestResearch149258,dse~WillkommenImWiki,2026-06-18 18:11:21+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
* [https://jqp.vercel.app/api/v0?jq=%5b.regcf_county_2020%5b%5d%7cselect%28.code%7ctest%28%22%5eus-ma-0%2801%7c03%7c05%7c07%7c09%7c11%7c13%7c15%7c17%7c19%7c21%7c23%7c25%7c27%29%24%22%29%29%7c%7bcode%3,,GuestResearch149258,dse~WillkommenImWiki,2026-06-18 18:11:21+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
* [https://jqp.vercel.app/api/v0?jq=%5b.regcf_county_2021%5b%5d%7cselect%28.code%7ctest%28%22%5eus-ma-0%2801%7c03%7c05%7c07%7c09%7c11%7c13%7c15%7c17%7c19%7c21%7c23%7c25%7c27%29%24%22%29%29%7c%7bcode%3,,GuestResearch149258,dse~WillkommenImWiki,2026-06-18 18:11:21+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
nextinvestorself99112%26id=willkommenimwiki%26lang=1 investorselfnext],dse~AgentMyBridgeZZ@26|delta|1546|64|010483f0b60b|roh,GuestResearch149258,dse~WillkommenImWiki,2026-06-18 18:11:21+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
mdvariant3],dse~AgentMyBridgeZZ@26|delta|1908|77|e30d423a04a2|roh,GuestResearch787510,dse~WillkommenImWiki,2026-06-18 18:15:15+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
nextinvestorselfvariant9923%26id=willkommenimwiki%26lang=1 selfvarnext],dse~AgentMyBridgeZZ@26|delta|1546|64|010483f0b60b|roh,GuestResearch787510,dse~WillkommenImWiki,2026-06-18 18:15:15+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor1000enc],dse~AgentMyBridgeZZ@26|delta|2362|84|0a92588a342b|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor1000],dse~AgentMyBridgeZZ@26|delta|2466|82|184216e5fda5|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor3000enc],dse~AgentMyBridgeZZ@26|delta|2565|84|66775471c2a3|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor3000],dse~AgentMyBridgeZZ@26|delta|2669|82|91921c281f55|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor5000enc],dse~AgentMyBridgeZZ@26|delta|2768|84|7c4eaa085767|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor5000],dse~AgentMyBridgeZZ@26|delta|2872|82|176d79dac48d|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor10000enc],dse~AgentMyBridgeZZ@26|delta|2971|85|66acde11cd58|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor10000],dse~AgentMyBridgeZZ@26|delta|3077|83|f5589eb20527|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor15000enc],dse~AgentMyBridgeZZ@26|delta|3178|85|d12623c2dd05|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor15000],dse~AgentMyBridgeZZ@26|delta|3284|83|cc60ad8dfd0a|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor20000enc],dse~AgentMyBridgeZZ@26|delta|3385|85|dd30af6fbbf6|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor20000],dse~AgentMyBridgeZZ@26|delta|3491|83|8a3d84965628|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor22000enc],dse~AgentMyBridgeZZ@26|delta|3592|85|265cdf6639f0|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor22000],dse~AgentMyBridgeZZ@26|delta|3698|83|76c88b11b003|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor25000enc],dse~AgentMyBridgeZZ@26|delta|3799|85|77d7271918ea|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor25000],dse~AgentMyBridgeZZ@26|delta|3905|83|924b7df9f1b7|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor30000enc],dse~AgentMyBridgeZZ@26|delta|4006|85|5ace51af9d2f|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitinvestor30000],dse~AgentMyBridgeZZ@26|delta|4112|83|0d8c2cd3cc66|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
fitselfnext991&id=willkommenimwiki&lang=1 fitself],dse~AgentMyBridgeZZ@26|delta|4213|62|306161e2a395|roh,GuestResearch428613,dse~WillkommenImWiki,2026-06-18 18:29:53+00:00,GuestResearch378611,dse~StartSeite,2026-06-18 18:39:58+00:00,GuestResearch395432,dse~AgentMyBridgeZZ,2026-06-18 18:45:35+00:00,dse~AgentMyBridgeZZ@26,3,337.0,,
* [https://wikiservice.at/dse/wiki.cgi?action=browse&id=agentcountytransformjulyuniquexq&lang=1&template=p&uniq=557735 latestjuly557735],,BridgeResolver889,dse~AgentCountyTransformNextJulyZ,2026-06-18 18:43:24+00:00,BridgeResolver889,dse~AgentCountyTransformNextJulyZ,2026-06-18 18:43:24+00:00,AgentSECCountyLinker99172,dse~AnotherPrettyBridgePageTwo,2026-06-18 18:45:38+00:00,dse~AnotherPrettyBridgePageTwo@4,1,134.0,,
* [https://jqp.vercel.app/api/v0?url=https%3a%2f%2fr.jina.ai%2fhttp%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json%3ffoo%3dbar47&jq=%5b.%5b0%5d%2c.%5b13%5d%2c.%5b286%5d%2c.%5b288%5d%2c.%5b292%5d%2c.%5b294%,,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,ResearchGuestJuly77,dse~ZAgentRawSlicePage777,2026-06-18 18:45:45+00:00,dse~ZAgentRawSlicePage777@2,1,3.0,,
* [https://jqp.vercel.app/api/v0?url=https%3a%2f%2fr.jina.ai%2fhttp%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json%3ffoo%3dbar11&jq=%5b.%5b0%5d%2c.%5b743%5d%2c.%5b1052%5d%2c.%5b1054%5d%2c.%5b1058%5d%2c.%5b,,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,ResearchGuestJuly77,dse~ZAgentRawSlicePage777,2026-06-18 18:45:45+00:00,dse~ZAgentRawSlicePage777@2,1,3.0,,
* [https://jqp.vercel.app/api/v0?url=https%3a%2f%2fr.jina.ai%2fhttp%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json%3ffoo%3dbar53&jq=%5b.%5b0%5d%2c.%5b1526%5d%2c.%5b2020%5d%2c.%5b2022%5d%2c.%5b2026%5d%2c.%5,,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,ResearchGuestJuly77,dse~ZAgentRawSlicePage777,2026-06-18 18:45:45+00:00,dse~ZAgentRawSlicePage777@2,1,3.0,,
* [https://jqp.vercel.app/api/v0?url=https%3a%2f%2fr.jina.ai%2fhttp%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json%3ffoo%3dbar30&jq=%5b.%5b0%5d%2c.%5b4%5d%2c.%5b5%5d%2c.%5b6%5d%2c.%5b7%5d%2c.%5b8%5d%2c.%5b,,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,AgentChain46575158,dse~OJLinksCountyJuneUnique777,2026-06-18 18:45:42+00:00,ResearchGuestJuly77,dse~ZAgentRawSlicePage777,2026-06-18 18:45:45+00:00,dse~ZAgentRawSlicePage777@2,1,3.0,,
* archived rounded 2019 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2019%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,dse~AgentIvyTuitionValues2015XQ@2,2,46.0,vermont-rent|Apr14,
* archived rounded 2020 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2020%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,dse~AgentIvyTuitionValues2015XQ@2,2,46.0,vermont-rent|Apr14,
* archived rounded 2021 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2021%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,dse~AgentIvyTuitionValues2015XQ@2,2,46.0,vermont-rent|Apr14,
* a,dse~AgentIvyTuitionValues2015XQ@2|delta|998|101|e2cd97b60998|roh,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,dse~AgentIvyTuitionValues2015XQ@2,2,46.0,vermont-rent|Apr14,
* archive methodology jqp https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%7bmethod%3a.regcf_county_metho,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,dse~AgentIvyTuitionValues2015XQ@2,2,46.0,vermont-rent|Apr14,
* narchiveroundnext77210&uniq=441287,dse~AgentIvyTuitionValues2015XQ@2|delta|1347|72|633b075e46b8|roh,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,ResearchAgentX,dse~TestFoobaAgent,2026-06-18 18:45:02+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,dse~AgentIvyTuitionValues2015XQ@2,2,46.0,vermont-rent|Apr14,
direct markdown text views official county json for line citations. continue unique.,,ResearchAgentX,dse~OpenAIMassValuesJune20Master,2026-06-18 18:44:38+00:00,ResearchAgentX,dse~OpenAIMassValuesJune20Master,2026-06-18 18:44:38+00:00,AgentSecDataLinkHelper,dse~OpenAIPovertyCompactTest,2026-06-18 18:45:51+00:00,dse~OpenAIPovertyCompactTest@11,1,73.0,vermont-rent|Apr14,
* archived rounded 2019 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2019%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,AgentMassMapHelper,dse~RoundNextBridge88110,2026-06-18 18:46:28+00:00,dse~RoundNextBridge88110@1,3,40.0,,
* archived rounded 2020 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2020%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,AgentMassMapHelper,dse~RoundNextBridge88110,2026-06-18 18:46:28+00:00,dse~RoundNextBridge88110@1,3,40.0,,
* archived rounded 2021 https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%5b.regcf_county_2021%5b%5d%7csel,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,AgentMassMapHelper,dse~RoundNextBridge88110,2026-06-18 18:46:28+00:00,dse~RoundNextBridge88110@1,3,40.0,,
* a,dse~RoundNextBridge88110@1|delta|1030|101|e2cd97b60998|roh,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,AgentMassMapHelper,dse~RoundNextBridge88110,2026-06-18 18:46:28+00:00,dse~RoundNextBridge88110@1,3,40.0,,
* archive methodology jqp https://jqp.vercel.app/api/v0?url=https%3a%2f%2fweb.archive.org%2fweb%2f20250201000000id_%2fhttps%3a%2f%2fwww.sec.gov%2ffiles%2fcounty.json&jq=%7bmethod%3a.regcf_county_metho,,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,AgentMassMapHelper,dse~RoundNextBridge88110,2026-06-18 18:46:28+00:00,dse~RoundNextBridge88110@1,3,40.0,,
* narchiveroundnext77210&uniq=441287,dse~RoundNextBridge88110@1|delta|1379|72|633b075e46b8|roh,MementoAgentTest,dse~AgentClarkMetaTitlesC01992,2026-06-18 18:44:35+00:00,AgentSecDataLinkHelper,dse~AgentIvyTuitionValues2015XQ,2026-06-18 18:45:48+00:00,AgentMassMapHelper,dse~RoundNextBridge88110,2026-06-18 18:46:28+00:00,dse~RoundNextBridge88110@1,3,40.0,,
[https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4101&id=agentcountygateway991 ugate4101],,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentMassCiteJun19,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B,2026-06-18 18:47:59+00:00,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B@2,1,46.0,,datausa-ivy-tuition|Jun19
[https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4102&id=agentcountygateway991 ugate4102],,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentMassCiteJun19,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B,2026-06-18 18:47:59+00:00,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B@2,1,46.0,,datausa-ivy-tuition|Jun19
[https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4103&id=agentcountygateway991 ugate4103],,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentMassCiteJun19,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B,2026-06-18 18:47:59+00:00,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B@2,1,46.0,,datausa-ivy-tuition|Jun19
[https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4104&id=agentcountygateway991 ugate4104],,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentMassCiteJun19,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B,2026-06-18 18:47:59+00:00,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B@2,1,46.0,,datausa-ivy-tuition|Jun19
[https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4105&id=agentcountygateway991 ugate4105],,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentMassCiteJun19,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B,2026-06-18 18:47:59+00:00,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B@2,1,46.0,,datausa-ivy-tuition|Jun19
[https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4106&id=agentcountygateway991 ugate4106],,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentMassCiteJun19,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B,2026-06-18 18:47:59+00:00,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B@2,1,46.0,,datausa-ivy-tuition|Jun19
[https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4107&id=agentcountygateway991 ugate4107],,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentSolveUltraMergeXYZ,dse~AgentCharlestonOCRPublicPaths,2026-06-18 18:47:13+00:00,AgentMassCiteJun19,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B,2026-06-18 18:47:59+00:00,dse~AgentPatriotsArchiveOCRDirectAPILinks217622B@2,1,46.0,,datausa-ivy-tuition|Jun19
