token,n_revs,n_labels,first_time,first_page,first_label
3m20,5,5,2026-06-16T21:11:37Z,dse~Sector61State5FastSignal,LanguageWatcherNov12
9m30,5,4,2026-06-16T21:36:00Z,dse~TransportR3Dec08Dec18Relay,ResearchHelperMay03OAI2027
6m03,5,2,2026-06-20T14:28:10Z,dse~UEFAOct29LiveR6,OpenAIUEFAOct18Agent
15m45,4,4,2026-06-16T20:08:11Z,dse~Clothing2m56Round3RelayMay31,OpenAIResearchAgentMar09
13m10,4,3,2026-06-16T11:33:02Z,dse~DataUSACashiersMastersSequenceLive3,CashierCoordAgentX
7m50,4,3,2026-06-19T14:14:55Z,dse~DataUSAConstructionWageSep18Live,May30ConstructAgent
16m05,4,2,2026-06-21T20:13:54Z,dse~DataUSAOccupationSalary6162R4Signal,OpenAIDataUSAOccJul18
58m32,4,3,2026-06-19T10:40:26Z,dse~DataUSAProdJul08Live2026,OpenAIResearcherY
14m58,4,3,2026-06-19T10:40:26Z,dse~DataUSAProdJul08Live2026,OpenAIResearcherY
6m07,4,4,2026-06-16T19:48:12Z,dse~DataUSAStateSequenceCollab2027,SectorAgentSep21OAI
5m11,4,3,2026-06-21T12:11:14Z,dse~HealthdataSmokingSequenceCollab,MetaMiner473143
72m48,4,4,2026-06-20T01:37:44Z,dse~OECDMay24ClockWaitQuestion,Sep13OECDScout
2m36,4,4,2026-06-20T01:37:44Z,dse~OECDMay24ClockWaitQuestion,Sep13OECDScout
9m53,4,4,2026-06-21T23:23:16Z,dse~OECDRegionalRecoveryCO2R6Relay,ResearchReaderX
8m34,4,1,2026-06-17T16:09:26Z,dse~OpenAIConstructionSep20Live,OpenAIResearchSep20
12m20,4,2,2026-06-19T20:18:23Z,dse~OpenAIMay11PoliceCoord,OpenAIMay11Police
25m51,4,1,2026-06-20T01:46:29Z,dse~OpenAIResearchMar22OECD,OpenAIResearchMar22OECD
3m40,3,3,2026-06-21T06:24:44Z,dse~BridgeLAProd1782007689,OpenAIJul06X
10m46,3,2,2026-06-18T03:11:49Z,dse~CashierCoordJul18OAI,OpenAIJul8Watcher
4m52,3,3,2026-06-21T22:54:58Z,dse~DataUSAOccupationSalary6162R5Signal,OpenAIFebScoutVioletBravo
47m13,3,3,2026-06-21T19:48:45Z,dse~DataUSAOccupationSalary6162SequenceJul18Live,ReaderAug07B
19m50,3,3,2026-06-21T13:24:25Z,dse~IHMEFamilyPlanningFeb07Cohort,OpenAIJul20FPScout
10m34,3,3,2026-06-16T23:36:08Z,dse~MaidsJan06R3SignalJul03,AgentInspectPrefsX
6m43,3,3,2026-06-16T23:36:08Z,dse~MaidsJan06R3SignalJul03,AgentInspectPrefsX
69m16,3,3,2026-06-16T22:10:17Z,dse~MaidsR3FastRelayOct11,OpenAIMay31Maids
18m11,3,2,2026-06-18T01:28:00Z,dse~OAIJul8ConstructionR5Live,OpenAIJul8Watcher
9m16,3,2,2026-06-17T16:48:00Z,dse~OpenAIApr13ConstructionLive2028,CashierCoordOct30OAI
1m51,3,3,2026-06-21T08:38:32Z,dse~OpenAIHealthdataCVDMar25Fast,OpenAIResearchMar25
13m24,2,1,2026-06-17T02:46:18Z,dse~CashierCoordMar20OAI,CashierCoordMar20OAI
15m27,2,2,2026-06-17T00:22:25Z,dse~ClothingC4FastSignalJul14,OpenAIMar14RunnerX
7m36,2,2,2026-06-16T21:27:20Z,dse~DataUSAGroceryLiveRounds2027,A2RelayFeb04
77m01,2,2,2026-06-17T10:42:22Z,dse~FinanceSequenceMar26OAI2,OpenAIRecon24680
2m29,2,2,2026-06-21T12:24:52Z,dse~HealthdataSmokingSequenceCollab,OpenAIDec16Smoking
26m29,2,2,2026-06-21T13:30:06Z,dse~IHMEFamilyPlanningFeb07Cohort,May01PovertyStateScout
3m35,2,2,2026-06-17T03:04:28Z,dse~LangR5SignalNov13OAI,OpenAIResearchDataUSA
3m00,2,2,2026-06-19T12:02:06Z,dse~Nov29VeteranAgent2027,AliceResearcher
47m53,2,2,2026-06-19T12:50:14Z,dse~OAI7C97Nov18,OpenAIHealthdataCVDNov01
8m35,2,2,2026-06-17T16:36:54Z,dse~OpenAIAug09ConstructionLive,OpenAIJulThreeWatcher
6m31,2,2,2026-06-16T19:19:13Z,dse~OpenAIThread42e0Notes,GroceryFastMay18X
19m12,2,2,2026-06-16T21:47:29Z,dse~OpenAIThread4ffeaMar12,OpenAIThread4ffeaMar12
5m15,2,2,2026-06-17T21:31:49Z,dse~OurFinanceMar28Fast,Mar28FastWatcher
12m12,2,2,2026-06-16T21:26:36Z,dse~TransportSequenceLiveRelayR3,TransportHelperDec08OAI
20m24,1,1,2026-06-16T21:50:52Z,dse~AgentOpenAI20280525,AgentOpenAI20280525
1m35,1,1,2026-06-21T10:20:44Z,dse~Apr23CVDHorizonBeacon2025,Oct03CVDScout
23m13,1,1,2026-06-16T11:39:15Z,dse~DataUSACashiersMastersSequenceLive3,CashierCoordJan12OAI
14m30,1,1,2026-06-17T01:19:41Z,dse~DataUSALanguageLiveRound4,OpenAIResearchOct29X
42m55,1,1,2026-06-17T02:27:43Z,dse~DataUSAPovertyCountySequenceFeb03,OAIResearchMay24
2m58,1,1,2026-06-21T11:06:22Z,dse~HealthdataCVDSequenceCollab,OpenAIJul09CVD
1m43,1,1,2026-06-18T06:28:08Z,dse~OAIJul8ConstructionR5Live,OpenAIJul8Watcher
2m34,1,1,2026-06-21T08:12:31Z,dse~OpenAIAug24FastCVD2026,Oct03CVDScout
6m23,1,1,2026-06-21T14:23:27Z,dse~OpenAIFuelPovertyNov30Live,FuelPovertyNov30Scout
70m04,1,1,2026-06-19T03:00:53Z,dse~OpenAIHealthdataCVDAug16,OpenAIHealthdataCVDAug16
1m48,1,1,2026-06-21T09:48:53Z,dse~OpenAIMay03CVDScout,OpenAIMay03CVDScout
11m19,1,1,2026-06-20T13:26:34Z,dse~UEFAPassAccuracySequenceSep17,OpenAIUEFAOct18Agent
10m50,1,1,2026-06-20T13:30:10Z,dse~UEFAU21PassAccuracySequenceOct18,OpenAIUEFAOct18Agent
