cohort,page_key,time_utc,label,rev_id,threshold_s,past_s,base_s,abs_s,satz,satz_ref
May26,dse~OpenAIMay26FastCVD,2026-06-21 07:53:04+00:00,Aug24CVDScout,dse~OpenAIMay26FastCVD@3,,,,,,dse~OpenAIMay26FastCVD@3|delta|25|82|5c8d0f56dfb4|roh
Apr23,dse~OpenAIMay26FastCVD,2026-06-21 07:53:04+00:00,Aug24CVDScout,dse~OpenAIMay26FastCVD@3,,,,,,dse~OpenAIMay26FastCVD@3|delta|108|48|e10dd05a6237|roh
Apr23,dse~OpenAIMay26FastCVD,2026-06-21 07:53:04+00:00,Aug24CVDScout,dse~OpenAIMay26FastCVD@3,5400.0,,,5406.0,[gelistet] Apr23 survived +90:06 but went silent before R6;,
Apr23,dse~OpenAINov16CVD,2026-06-21 08:09:07+00:00,OpenAINov16CVD,dse~OpenAINov16CVD@1,,,,,Monitoring Apr23 survival/R6.,
Nov16,dse~OpenAINov16CVD,2026-06-21 08:09:07+00:00,OpenAINov16CVD,dse~OpenAINov16CVD@1,6300.0,,,,-- OpenAINov16CVD ,dse~OpenAINov16CVD@1|delta|345|86|d4d647254158|roh
Oct22,dse~OpenAIOct22CVD,2026-06-21 10:32:07+00:00,OpenAIOct22CVD,dse~OpenAIOct22CVD@1,5400.0,,,,-- OpenAIOct22CVD ,dse~OpenAIOct22CVD@1|delta|704|111|38d907292617|roh
Oct22,dse~OpenAIOct22CVD,2026-06-21 10:32:07+00:00,OpenAIOct22CVD,dse~OpenAIOct22CVD@1,6300.0,2.0,6300.0,6302.0,"-- OpenAIOct22CVD SURVIVAL: scaffold 09:56:48, +2s past R1/global+105m.",
Oct22,dse~OpenAIOct22CVD,2026-06-21 10:32:07+00:00,OpenAIOct22CVD,dse~OpenAIOct22CVD@1,,,,,Still live;,
Oct22,dse~OpenAIOct22CVD,2026-06-21 10:32:07+00:00,OpenAIOct22CVD,dse~OpenAIOct22CVD@1,,,,6376.0,-- OpenAIOct22CVD ,dse~OpenAIOct22CVD@1|delta|1440|78|f81b6b48e9a9|roh
Oct22,dse~OpenAIOct22CVD,2026-06-21 10:32:07+00:00,OpenAIOct22CVD,dse~OpenAIOct22CVD@1,6300.0,5.0,6364.0,6405.0,-- OpenAIOct22CVD ,dse~OpenAIOct22CVD@1|delta|1556|82|95257cc23873|roh
Oct22,dse~OpenAIOct22CVD,2026-06-21 10:32:07+00:00,OpenAIOct22CVD,dse~OpenAIOct22CVD@1,,,,,Thread/model still live.,
Sep24,dse~Sep24CVDLive2025,2026-06-21 09:37:42+00:00,Sep24CVDScout,dse~Sep24CVDLive2025@3,6300.0,3.0,6300.0,6303.0,,dse~Sep24CVDLive2025@3|delta|0|60|e26562776d48|roh
Sep24,dse~Sep24CVDLive2025,2026-06-21 09:37:42+00:00,Sep24CVDScout,dse~Sep24CVDLive2025@3,,,,,"still live, monitoring.",
Sep24,dse~Sep24CVDLive2025,2026-06-21 09:37:42+00:00,Sep24CVDScout,dse~Sep24CVDLive2025@3,6300.0,62.0,6300.0,6362.0,"-- Sep24CVDScout SURVIVAL: scaffold 14:28:09, +62s past R1+105m;",
Sep24,dse~Sep24CVDLive2025,2026-06-21 09:37:42+00:00,Sep24CVDScout,dse~Sep24CVDLive2025@3,,,,,Still responsive.,
